"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sexCond","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds"
3,"3세",67.8,2,55.7,3,43.5,3,30.7,2,8.6,0,0,0,14,3,14,0,13.3,25.4,37.6,25,22.1,8.6,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,6,"-","그랜드선","GRAND SUN","0044647",14,0,0,0,0,0,0,0,"조인권","Jo In Kwon","080438","부산경남","한국",1,"정순옥","Jeong Sun Ok",119003,1.7,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,81.1,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"양귀선","Yang Kui Sun","070125","건조 (2%)","맑음",56,"517(+5)",4.9
3,"3세",67.7,1,55.5,1,43.3,1,30.5,1,8.5,0,0,0,13.8,1,13.8,0,13.8,26,38.2,25,22,8.5,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,10,2,"맨오브더스타","MAN OF THE STAR","0044852",14,0,0,0,0,0,0,0,"서승운","Seo Seung Un","080484","부산경남","한국",2,"신윤경","Shin Yoon Gyeong",112292,1.4,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,81.5,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"울즐리","Peter Wolsley","070156","건조 (2%)","맑음",56,"489(-4)",2.1
3,"3세",69,4,56.7,4,44.2,4,31.5,5,8.9,0,0,0,14.6,9,14.6,0,13.3,25.6,38.1,25.2,22.6,8.9,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,4,5,"그레이트캡틴","GREAT CAPTAIN","0044209",14,0,0,0,0,0,0,0,"박재이","Park Jae I","080546","부산경남","한국",3,"배수한","Bae Su Han",114033,2.1,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,82.3,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"구민성","Gu Min Sung","070173","건조 (2%)","맑음",56,"481(-11)",8
3,"3세",68.3,3,55.7,2,43.5,2,30.8,3,8.6,0,0,0,14,2,14,0,14,26.6,38.8,24.9,22.2,8.6,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,1,"목","라온더파이팅","RAON THE FIGHTING","0045024",14,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","한국",4,"손천수","Son Chun Soo",106025,1.8,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,82.3,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"권승주","Kwon Sung Ju","070086","건조 (2%)","맑음",56,"490(+1)",5.1
3,"3세",69.2,5,56.8,5,44.6,6,31.6,6,8.8,0,0,0,14.3,5,14.3,0,13.2,25.6,37.8,25.2,22.8,8.8,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,2,"½","닥터페르시아","DOCTOR PERSIA","0044608",14,0,0,0,0,0,0,0,"김혜선","Kim Hye Sun","080456","부산경남","한국",5,"권혁희","Kwon Hyeok Hui",117002,6.9,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,82.4,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"백광열","Baik Kwang Yeol","070130","건조 (2%)","맑음",56,"483(+13)",43.7
3,"3세",69.2,6,56.9,6,44.2,5,31.4,4,8.6,0,0,0,14.1,4,14.1,0,13.5,25.8,38.5,25.5,22.8,8.6,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,7,"1½","퀄리티퀸","QUALITY QUEEN","0044649",14,0,0,0,0,0,0,0,"서강주","Seo Gang Ju","080605","부산경남","한국",6,"이종석","Lee Jong Seok",111078,2.8,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,82.7,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"장세한","Jang Se Han","070127","건조 (2%)","맑음",50,"469(+5)",15.3
3,"3세",69.6,7,57.2,7,44.7,7,31.7,7,8.8,0,0,0,14.3,6,14.3,0,13.7,26.1,38.6,25.5,22.9,8.8,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,3,3,"제트캐시","ZET CASH","0044361",14,0,0,0,0,0,0,0,"박종호","Park Jong Ho","080601","부산경남","한국",7,"허용권","Heo Yong Kwon",111167,2.4,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,83.3,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"하무선","Ha Mu Seon","070143","건조 (2%)","맑음",52,"469()",11.4
3,"3세",70.9,8,57.9,8,45.2,9,32.1,10,8.9,0,0,0,14.6,11,14.6,0,13.9,26.9,39.6,25.8,23.2,8.9,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,12,9,"팬텀퀸","PHANTOM QUEEN","0044476",14,0,0,0,0,0,0,0,"김어수","Kim Eu Soo","080403","부산경남","한국",8,"말구유","Mal Gu Yoo",121059,20.4,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,84.8,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"하무선","Ha Mu Seon","070143","건조 (2%)","맑음",54,"460(+32)",163.4
3,"3세",71.5,12,58.9,13,45.7,12,32,9,8.8,0,0,0,14.5,7,14.5,0,13.4,26,39.2,26.9,23.2,8.8,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,5,"½","스페셜존","SPECIAL JOHN","0044656",14,0,0,0,0,0,0,0,"권오찬","Gwon O Chan","080604","부산경남","한국",9,"이혜란","Lee Hae Lan",104102,23.9,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,84.9,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","건조 (2%)","맑음",52,"470(-8)",131.3
3,"3세",71.1,10,58.5,11,45.8,13,32.7,13,9.9,0,0,0,15.4,14,15.4,0,13.9,26.5,39.2,25.8,22.8,9.9,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,9,"목","스마트클래스","SMART CLASS","0043949",14,0,0,0,0,0,0,0,"전진구","Jeon Jin Gu","080580","부산경남","한국",10,"김준현","Kim Joon Hyun",106289,27.6,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,85,0,0,0,0,0,0,0,"거","오픈",0,0,0,0,0,0,0,"조용배","Cho Yong Bae","070137","건조 (2%)","맑음",56,"465(-4)",202.5
3,"3세",71,9,58.3,10,45.4,10,32.4,11,9.6,0,0,0,15.3,13,15.3,0,14.1,26.8,39.7,25.9,22.8,9.6,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,11,"¾","투투브레인","TWO TWO BRAIN","0044182",14,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",11,"강용익","Kang Yong Ik",105137,5.6,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,85.1,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"김길중","Kim Gil Jung","070126","건조 (2%)","맑음",54,"470(-6)",28.5
3,"3세",71.5,13,59,14,46.3,14,32.8,14,9.1,0,0,0,15.1,12,15.1,0,13.6,26.1,38.8,26.2,23.7,9.1,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,13,"코","드림캐치","DREAM CATCH","0044582",14,0,0,0,0,0,0,0,"김동영","Kim Dong Young","080401","부산경남","한국",12,"이남일","Lee Nam Il","065082",13.9,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,85.1,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","건조 (2%)","맑음",54,"467(+4)",73.6
3,"3세",71.1,11,58,9,45.1,8,31.9,8,8.9,0,0,0,14.6,10,14.6,0,14.1,27.2,40.1,26.1,23,8.9,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,8,"½","핼러윈데이","HALLOWEEN DAY","0044123",14,0,0,0,0,0,0,0,"송경윤","Song Kyeong Yun","080421","부산경남","한국",13,"고구려","Go Gu Ryeo",120005,21.7,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,85.2,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"구민성","Gu Min Sung","070173","건조 (2%)","맑음",54,"497(-6)",233.5
