"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","sexCond"
3,"연령오픈",49,1,37.1,3,25.4,4,0,0,0,0,0,0,13.8,4,13.8,0,12.9,24.8,36.5,23.3,0,0,"별정C",0,0,0,12540000,4620000,2860000,1100000,880000,6,"-","블랙텐","BLACK TEN","0035188",23,0,0,0,0,0,0,0,"채상현","Chae Sang Hyun","080532","부산경남","한국",1,"이경희","Lee Gyeong Hui",112286,1.2,"R0~0","국6등급",0,20170331,"금요일",1000,"일반",1,61.9,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"울즐리","Peter Wolsley","070156","다습 (11%)","흐림",54.5,"500(-7)",1.5,
3,"연령오픈",49,2,36.8,1,25.1,1,0,0,0,0,0,0,13.7,1,13.7,0,13.1,25.3,37,23.1,0,0,"별정C",0,0,0,12540000,4620000,2860000,1100000,880000,3,"1¼","한얼누리","HANEOL NURI","0035941",23,0,0,0,0,0,0,0,"마리오스","MARIOS MINA","080574","부산경남","한국",2,"나종용","Na Jong Yong",110051,2.1,"R0~0","국6등급",0,20170331,"금요일",1000,"일반",1,62.1,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"김영관","Kim Young Kwan","070123","다습 (11%)","흐림",54.5,"517(+10)",5.6,
3,"연령오픈",49.4,4,37.4,5,25.4,5,0,0,0,0,0,0,13.8,5,13.8,0,13.1,25.1,37.1,23.6,0,0,"별정C",0,0,0,12540000,4620000,2860000,1100000,880000,10,"2½","차룡","CHARYONG","0035933",23,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","한국",3,"김봉겸","Kim Bong Gyum",104148,1.8,"R0~0","국6등급",0,20170331,"금요일",1000,"일반",1,62.5,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"오문식","OH MOON SIK","070112","다습 (11%)","흐림",56,"497(+7)",7.4,
3,"연령오픈",49.1,3,36.8,2,25.1,2,0,0,0,0,0,0,13.8,3,13.8,0,13.6,25.9,37.6,23,0,0,"별정C",0,0,0,12540000,4620000,2860000,1100000,880000,4,"1¼","대유아이콘","DAEYU ICON","0035444",23,0,0,0,0,0,0,0,"조창욱","Jo Chang Wook","080411","부산경남","한국",4,"변공민","Byun Gong Min",104078,4.7,"R0~0","국6등급",0,20170331,"금요일",1000,"일반",1,62.7,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"한상복","HAN SANG BOK","070118","다습 (11%)","흐림",53.5,"496(+8)",26.4,
3,"연령오픈",50.2,8,37.9,8,26,9,0,0,0,0,0,0,14.6,10,14.6,0,12.7,25,36.9,23.3,0,0,"별정C",0,0,0,12540000,4620000,2860000,1100000,880000,1,"1¼","캡위너","CAP WINNER","0035646",23,0,0,0,0,0,0,0,"안드레아","ANDREA MEZZATESTA","080575","부산경남","한국",5,"송달섭","Song Dal Sup",105006,1,"R0~0","국6등급",0,20170331,"금요일",1000,"일반",1,62.9,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"강병은","KANG BYUNG EUN","070135","다습 (11%)","흐림",54,"475(+6)",15.3,
3,"연령오픈",49.8,5,37.3,4,25.2,3,0,0,0,0,0,0,13.7,2,13.7,0,13.7,26.2,38.3,23.6,0,0,"별정C",0,0,0,12540000,4620000,2860000,1100000,880000,5,3,"여왕의정원","YEOWANGUI JEONGWON","0035381",23,0,0,0,0,0,0,0,"김태경","Kim Tae Kyung","080296","부산경남","한국",6,"김성수","KIM SUNG SOO",106023,5.3,"R0~0","국6등급",0,20170331,"금요일",1000,"일반",1,63.5,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"장세한","Jang Se Han","070127","다습 (11%)","흐림",52.5,"502(-8)",30.9,
3,"연령오픈",50.1,6,37.6,7,25.6,7,0,0,0,0,0,0,14.2,8,14.2,0,13.4,25.9,37.9,23.4,0,0,"별정C",0,0,0,12540000,4620000,2860000,1100000,880000,7,"코","샤프빅토리","SHARP VICTORY","0035256",23,0,0,0,0,0,0,0,"이성재","Lee Sung Jae","080431","부산경남","한국",7,"조경신","Cho Gyeong Sin",112304,15.4,"R0~0","국6등급",0,20170331,"금요일",1000,"일반",1,63.5,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"이상영","Lee Sang Young","070141","다습 (11%)","흐림",52.5,"443(-2)",59.6,
3,"연령오픈",50.9,9,38.3,10,26.1,10,0,0,0,0,0,0,14.4,9,14.4,0,13.1,25.7,37.9,23.9,0,0,"별정C",0,0,0,12540000,4620000,2860000,1100000,880000,8,3,"골드스타","GOLD STAR","0035798",23,0,0,0,0,0,0,0,"양영남","YANG YOUNG NAM","080384","부산경남","한국",8,"김성수","KIM SUNG SOO",106023,43.2,"R0~0","국6등급",0,20170331,"금요일",1000,"일반",1,64,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"양귀선","Yang Kui Sun","070125","다습 (11%)","흐림",52.5,"432(+23)",86.3,
4,"연령오픈",50.2,7,37.6,6,25.6,6,0,0,0,0,0,0,14.2,7,14.2,0,13.9,26.5,38.5,23.4,0,0,"별정C",0,0,0,12540000,4620000,2860000,1100000,880000,2,"½","골든패밀리","GOLDEN FAMILY","0033925",23,0,0,0,0,0,0,0,"박재이","Park Jae I","080546","부산경남","한국",9,"고희종","Ko Hee Chong",104133,23,"R0~0","국6등급",0,20170331,"금요일",1000,"일반",1,64.1,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"오문식","OH MOON SIK","070112","다습 (11%)","흐림",53,"517(-1)",81,
3,"연령오픈",51.1,10,37.9,9,25.6,8,0,0,0,0,0,0,14,6,14,0,13.7,26.9,39.2,23.9,0,0,"별정C",0,0,0,12540000,4620000,2860000,1100000,880000,11,4,"시티위너","CITY WINNER","0035356",23,0,0,0,0,0,0,0,"조인권","Jo In Kwon","080438","부산경남","한국",10,"김재윤","Kim Jae Yoon",106231,3,"R0~0","국6등급",0,20170331,"금요일",1000,"일반",1,64.8,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"문제복","MUN JE BOK","070140","다습 (11%)","흐림",52.5,"501(+8)",11.4,
3,"연령오픈",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,12540000,4620000,2860000,1100000,880000,9,"-","막강볼트","MAKGANG BOLT","0035909",23,0,0,0,0,0,0,0,"함완식","Ham Wan Sik","080342","부산경남","한국",94,"이시환","Lee Si Hwan",104069,0,"R0~0","국6등급",0,20170331,"금요일",1000,"일반",1,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"최기홍","Choi Ki Hong","070129","다습 (11%)","흐림",54.5,"451(-3)",0,
3,"3세",69.6,1,57,1,44.3,2,31.7,3,8.6,5,0,0,14.4,4,14.4,0,13.3,25.9,38.6,25.3,23.1,8.6,"별정A",0,0,0,22800000,8400000,5200000,2000000,1600000,1,"-","레드사이렌","RED SIREN","0035571",23,0,0,0,0,0,0,0,"조인권","Jo In Kwon","080438","부산경남","한국",1,"손병현","Son Byeong Hyeon",112005,1.2,"R0~0","국6등급",0,20170331,"금요일",1300,"일반",2,82.9,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"문제복","MUN JE BOK","070140","다습 (11%)","흐림",56,"468(-1)",5,
3,"3세",70.2,2,57.4,3,44.7,5,32.2,6,8.7,9,0,0,14.6,7,14.6,0,13.6,26.4,39.1,25.2,23.5,8.7,"별정A",0,0,0,22800000,8400000,5200000,2000000,1600000,8,5,"라스트댄스","LAST DANCE","0035500",23,0,0,0,0,0,0,0,"설동복","SEOL DONG BOK","080420","부산경남","한국",2,"박광순","Park Kwang Soon",104131,1.4,"R0~0","국6등급",0,20170331,"금요일",1300,"일반",2,83.8,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"안우성","An Woo Sung","070180","다습 (11%)","흐림",56,"468(-1)",3.8,
3,"3세",70.2,3,57.3,2,44.4,4,31.7,4,8.5,3,0,0,14.4,5,14.4,0,13.9,26.8,39.7,25.6,23.2,8.5,"별정A",0,0,0,22800000,8400000,5200000,2000000,1600000,2,"1¾","위대한광경","WIDAEHANGWANGGYONG","0035866",23,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",3,"이계옥","Lee Gye Ok",104130,1.8,"R0~0","국6등급",0,20170331,"금요일",1300,"일반",2,84.1,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"윤영훈","Youn Young Hun","070133","다습 (11%)","흐림",56,"507(+5)",5.4,
3,"3세",70.8,4,58,6,45.1,7,32.5,7,8.6,6,0,0,14.6,6,14.6,0,13.4,26.2,39.1,25.5,23.9,8.6,"별정A",0,0,0,22800000,8400000,5200000,2000000,1600000,5,1,"삼성블레이드","SAMSEONG BLADE","0035936",23,0,0,0,0,0,0,0,"채상현","Chae Sang Hyun","080532","부산경남","한국",4,"김형란","Kim Hyeong Ran",112270,1.2,"R0~0","국6등급",0,20170331,"금요일",1300,"일반",2,84.2,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"김영관","Kim Young Kwan","070123","다습 (11%)","흐림",56,"499(-4)",2.1,
3,"3세",71.1,5,58.1,7,45.5,8,33,8,8.7,8,0,0,14.8,8,14.8,0,13.6,26.6,39.2,25.1,24.3,8.7,"별정A",0,0,0,22800000,8400000,5200000,2000000,1600000,7,"2½","부산볼트","BUSAN BOLT","0035823",23,0,0,0,0,0,0,0,"최은경","Choi Eun Gyeong","080566","부산경남","한국",5,"이시환","Lee Si Hwan",104069,4.6,"R0~0","국6등급",0,20170331,"금요일",1300,"일반",2,84.7,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"강병은","KANG BYUNG EUN","070135","다습 (11%)","흐림",51,"434(-18)",33.5,
3,"3세",71.5,7,58.3,9,45.5,9,33.3,9,9.1,10,0,0,15.2,10,15.2,0,14.2,27.4,40.2,25,24.2,9.1,"별정A",0,0,0,22800000,8400000,5200000,2000000,1600000,6,6,"절대지주","JEOLDEA JIJU","0035987",23,0,0,0,0,0,0,0,"정도윤","Jung Do Yun","080565","부산경남","한국",6,"최순자","CHOI SOON JA",106091,10.9,"R0~0","국6등급",0,20170331,"금요일",1300,"일반",2,85.7,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"유충열","YU CHUNG YEOL","070139","다습 (11%)","흐림",53,"490(+3)",74.5,
