"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sexCond","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds"
4,"연령오픈",49.1,2,37,3,25.2,3,0,0,0,0,0,0,13.8,3,13.8,0,13.4,25.5,37.3,23.2,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,5,"-","육룡이","YUKRYONGI","0035113",8,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",1,"손병철","Son Boing Choul",110058,2.6,"R1~35","국5등급",31,20180128,"일요일",1000,"일반",1,62.5,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"조용배","Cho Yong Bae","070137","건조 (4%)","맑음",56,"441(-2)",8.1
3,"연령오픈",49.1,1,36.6,1,24.8,2,0,0,0,0,0,0,13.6,2,13.6,0,13.6,26.1,37.9,23,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,2,1,"퀸더퀸","QUEEN THE QUEEN","0036916",8,0,0,0,0,0,0,0,"박재이","Park Jae I","080546","부산경남","한국",2,"김호영","Kim Ho Young",115009,1.4,"R1~35","국5등급",29,20180128,"일요일",1000,"일반",1,62.7,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"라이스","Bart Rice","070186","건조 (4%)","맑음",53.5,"448(-7)",3.4
4,"연령오픈",49.5,3,37.2,4,25.2,4,0,0,0,0,0,0,13.9,4,13.9,0,13.2,25.5,37.5,23.3,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,7,"코","러닝걸","RUNNING GIRL","0036182",8,0,0,0,0,0,0,0,"조인권","Jo In Kwon","080438","부산경남","한국",3,"오종환","Oh Jong Hwan","065154",1.6,"R1~35","국5등급",31,20180128,"일요일",1000,"일반",1,62.7,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"문제복","MUN JE BOK","070140","건조 (4%)","맑음",56,"476(+4)",5.8
5,"연령오픈",49.7,5,37.6,7,25.8,7,0,0,0,0,0,0,14.2,7,14.2,0,13.1,25.2,37,23.4,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,4,"¾","댄싱블레이즈","DANCING BLAZE","0034123",8,0,0,0,0,0,0,0,"이효식","Lee Hyo Sik","080564","부산경남","한국",4,"허도행","Heo Do Haeng",104127,4.8,"R1~35","국5등급",21,20180128,"일요일",1000,"일반",1,62.8,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"김병학","Kim Byung Hak","070121","건조 (4%)","맑음",51,"431(-5)",23.3
3,"연령오픈",50,9,37.9,8,26,8,0,0,0,0,0,0,14.3,8,14.3,0,13,25.1,37,23.6,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,10,"1¼","유로공주","EURO GONGJU","0036808",8,0,0,0,0,0,0,0,"김철호","Kim Cheol Ho","080434","부산경남","한국",5,"이경희","Lee Gyeong Hui",112286,1.6,"R1~35","국5등급",31,20180128,"일요일",1000,"일반",1,63,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"구영준","Koo Young Jun","070176","건조 (4%)","맑음",55.5,"458(+7)",4.5
4,"연령오픈",50,8,38,9,26.1,9,0,0,0,0,0,0,14.5,9,14.5,0,13.1,25.1,37,23.5,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,6,"코","실버라인","SILVER LINE","0035731",8,0,0,0,0,0,0,0,"최은경","Choi Eun Gyeong","080566","부산경남","한국",6,"윤지중","Yoon Ji Jung",104100,4,"R1~35","국5등급",28,20180128,"일요일",1000,"일반",1,63.1,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"유병복","Yoo Byung Bok","070109","건조 (4%)","맑음",53.5,"467(-3)",12.7
4,"연령오픈",49.8,6,37.3,5,25.4,6,0,0,0,0,0,0,14,5,14,0,13.4,25.9,37.8,23.3,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,3,1,"달콤한인생","DALKOMHAN INSAENG","0035101",8,0,0,0,0,0,0,0,"문중원","MUN JUNG WON","080397","부산경남","한국",7,"강훈표","Kang Hoon Pyo","065007",4.8,"R1~35","국5등급",21,20180128,"일요일",1000,"일반",1,63.2,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"한상복","HAN SANG BOK","070118","건조 (4%)","맑음",52,"476()",22
5,"연령오픈",50.8,10,38.8,10,26.8,10,0,0,0,0,0,0,14.7,10,14.7,0,12.8,24.8,36.8,24.1,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,9,"1¾","샤프퀸즈","SHARP QUEENS","0033435",8,0,0,0,0,0,0,0,"김혜선","Kim Hye Sun","080456","부산경남","한국",8,"임용근","Lim Yong Keun",105136,5,"R1~35","국5등급",26,20180128,"일요일",1000,"일반",1,63.6,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"임동창","Im Dong Chang","070138","건조 (4%)","맑음",53.5,"430(-9)",21
3,"연령오픈",49.6,4,36.7,2,24.8,1,0,0,0,0,0,0,13.6,1,13.6,0,14,26.9,38.8,23.1,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,1,"½","애플골드","APPLE GOLD","0037311",8,0,0,0,0,0,0,0,"김동영","Kim Dong Young","080401","부산경남","한국",9,"강애순","Kang Ae Soon",112043,2,"R1~35","국5등급",28,20180128,"일요일",1000,"일반",1,63.6,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"강병은","KANG BYUNG EUN","070135","건조 (4%)","맑음",54,"464()",4.8
5,"연령오픈",49.9,7,37.3,6,25.3,5,0,0,0,0,0,0,14,6,14,0,13.8,26.4,38.4,23.3,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,8,"½","음속질주","EUMSOK JILJU","0033773",8,0,0,0,0,0,0,0,"정동철","Jeong Dong Cheol","080482","부산경남","한국",10,"부봉하","Bu Bong Ha",111083,22.8,"R1~35","국5등급",21,20180128,"일요일",1000,"일반",1,63.7,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"김재섭","Kim Jae Sub","070106","건조 (4%)","맑음",52,"491(+8)",77.2
