"age","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","ageCond","sexCond"
2,48.3,2,36.1,2,24.6,2,0,0,0,0,0,0,13.6,2,13.6,0,13.2,25.4,36.9,22.5,0,0,"별정B",0,0,0,42750000,15750000,9750000,3750000,3000000,4,"-","로키스카이","ROCKY SKY","0043638",80,0,0,0,0,0,0,0,"김도현","Kim Do Hyun","080381","부산경남","미국",1,"이성인","Lee Seong In",112003,3.8,"R1~50","혼4등급",38,20191027,"일요일",1000,"일반",1,61.5,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"강병은","KANG BYUNG EUN","070135","양호 (7%)","맑음",54,"465()",33.3,,
2,48.3,1,36.1,1,24.6,1,0,0,0,0,0,0,13.4,1,13.4,0,13.3,25.5,37,22.7,0,0,"별정B",0,0,0,42750000,15750000,9750000,3750000,3000000,5,"½","스키터","SKITTER","0043546",80,0,0,0,0,0,0,0,"채상현","Chae Sang Hyun","080532","부산경남","미국",2,"박희상","Park Hee Sang",115008,1.2,"R1~50","혼4등급",40,20191027,"일요일",1000,"일반",1,61.6,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"울즐리","Peter Wolsley","070156","양호 (7%)","맑음",52,"432(-10)",2.8,,
2,49,3,36.9,4,25,4,0,0,0,0,0,0,13.7,3,13.7,0,13,25.1,37,23.2,0,0,"별정B",0,0,0,42750000,15750000,9750000,3750000,3000000,2,"2½","퀸마블이지","QUEEN MARVEL IJI","0043552",80,0,0,0,0,0,0,0,"김철호","Kim Cheol Ho","080434","부산경남","미국",3,"춘강","Chun Gang",112021,4.1,"R1~50","혼4등급",38,20191027,"일요일",1000,"일반",1,62,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"토마스","Thomas Gillespie","070194","양호 (7%)","맑음",52,"468(+1)",29.5,,
2,49.4,4,37.1,5,25.2,6,0,0,0,0,0,0,14,6,14,0,12.9,25.2,37.1,23.1,0,0,"별정B",0,0,0,42750000,15750000,9750000,3750000,3000000,10,"1¼","블랙이글윙","BLACK EAGLE WING","0043445",80,0,0,0,0,0,0,0,"이효식","Lee Hyo Sik","080564","부산경남","미국",4,"최병부","Choi Byeong Bu",109137,1.4,"R1~50","혼4등급",38,20191027,"일요일",1000,"일반",1,62.3,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"이상영","Lee Sang Young","070141","양호 (7%)","맑음",54,"478(+8)",6,,
2,49.5,5,37.2,7,25.2,7,0,0,0,0,0,0,14,7,14,0,13,25.3,37.3,23.2,0,0,"별정B",0,0,0,42750000,15750000,9750000,3750000,3000000,11,"1½","라스트가디언","LAST GUARDIAN","0043467",80,0,0,0,0,0,0,0,"요아니스","Ioannis Poullis","080591","부산경남","미국",5,"태립","Tae Rip",106255,2.1,"R1~50","혼4등급",38,20191027,"일요일",1000,"일반",1,62.5,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"김영관","Kim Young Kwan","070123","양호 (7%)","맑음",54,"531(-7)",6.2,,
2,49.7,7,37.2,6,25.2,5,0,0,0,0,0,0,13.8,5,13.8,0,13.4,25.9,37.9,23.4,0,0,"별정B",0,0,0,42750000,15750000,9750000,3750000,3000000,1,3,"아라로즈","ARA ROSE","0043502",80,0,0,0,0,0,0,0,"송경윤","Song Kyeong Yun","080421","부산경남","미국",6,"고재완","Ko Jae Wan",105119,1.6,"R1~50","혼4등급",38,20191027,"일요일",1000,"일반",1,63.1,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"구영준","Koo Young Jun","070176","양호 (7%)","맑음",52,"496(-15)",2.5,,
2,50.7,8,38.4,9,26.2,9,0,0,0,0,0,0,14.2,9,14.2,0,12.6,24.9,37.1,24.2,0,0,"별정B",0,0,0,42750000,15750000,9750000,3750000,3000000,8,1,"영광의세이브","YEONGGWANGUI SAVE","0041933",80,0,0,0,0,0,0,0,"정도윤","Jung Do Yun","080565","부산경남","미국",7,"변창덕","Byun Chang Duck",110048,4.1,"R1~50","혼4등급",38,20191027,"일요일",1000,"일반",1,63.3,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"임금만","Lim Keum Man","070128","양호 (7%)","맑음",54,"502(-6)",23.7,,
2,49.6,6,36.8,3,24.9,3,0,0,0,0,0,0,13.7,4,13.7,0,14,26.8,38.7,23.1,0,0,"별정B",0,0,0,42750000,15750000,9750000,3750000,3000000,3,"1½","시프린","SHIFFRIN","0043628",80,0,0,0,0,0,0,0,"정동철","Jeong Dong Cheol","080482","부산경남","미국",8,"이원태","Lee Won Tae",105125,8.1,"R1~50","혼4등급",38,20191027,"일요일",1000,"일반",1,63.6,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"하무선","Ha Mu Seon","070143","양호 (7%)","맑음",52,"483(-3)",75,,
2,51.3,10,38.9,10,26.7,12,0,0,0,0,0,0,15.1,12,15.1,0,12.8,25.2,37.4,23.8,0,0,"별정B",0,0,0,42750000,15750000,9750000,3750000,3000000,7,3,"영화의반석","YEONGHWAUI BANSEOK","0043511",80,0,0,0,0,0,0,0,"리차드","Richard William Oliver","080592","부산경남","미국",9,"임두순","Lim Doo Soon",112013,27.2,"R1~50","혼4등급",38,20191027,"일요일",1000,"일반",1,64.1,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"라이스","Bart Rice","070186","양호 (7%)","맑음",52,"445(-1)",122,,
2,50.8,9,38.2,8,26,8,0,0,0,0,0,0,14.1,8,14.1,0,13.4,26,38.2,24.1,0,0,"별정B",0,0,0,42750000,15750000,9750000,3750000,3000000,6,"목","머제스틱글로리","MAJESTIC GLORY","0043624",80,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","미국",10,"이경희","Lee Gyeong Hui",112286,10.5,"R1~50","혼4등급",38,20191027,"일요일",1000,"일반",1,64.2,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"구영준","Koo Young Jun","070176","양호 (7%)","맑음",52,"512(-12)",66.6,,
