"age","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","rating","rcDate","rcDay","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","weather","wgBudam","wgHr","winOdds","ageCond","budam","prizeCond","rank","rcDist","rcName","track","sexCond"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"-","영광의타임","YEONGGWANGUI TIME","0040325",0,0,0,0,0,0,0,0,"이효식","Lee Hyo Sik","080564","부산경남","한국",99,"변창덕","Byun Chang Duck",110048,0,33,20200223,"일요일",1,0,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"강은석","Kang Eun Seok","070223","-",54,"0()",9999.9,,,,,,,,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"-","만남의시작","MANNAMUI SIJAK","0035541",0,0,0,0,0,0,0,0,"송경윤","Song Kyeong Yun","080421","부산경남","한국",99,"정순옥","Jeong Sun Ok",119003,0,35,20200223,"일요일",1,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"양귀선","Yang Kui Sun","070125","-",57,"0()",64.2,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"-","청풍난향","CHEONGPUNG NANHYANG","0036950",0,0,0,0,0,0,0,0,"조창욱","Jo Chang Wook","080411","부산경남","한국",99,"김영옥","Kim Young Ok",105068,0,26,20200223,"일요일",1,0,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"이정표","Lee Jung Pyo","070132","-",52,"0()",2.9,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"-","브이아이피킹","VIP KING","0037343",0,0,0,0,0,0,0,0,"다실바","Francisco Da Silva","080568","부산경남","한국",99,"김진영a","Kim Jin Young A",105040,0,30,20200223,"일요일",1,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"민장기","Min Jang Gi","070136","-",54.5,"0()",9999.9,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"-","대동기상","DAEDONG GISANG","0037984",0,0,0,0,0,0,0,0,"이성재","Lee Sung Jae","080431","부산경남","한국",99,"배삼성","Bae Sam-Seong",113113,0,35,20200223,"일요일",1,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"김길중","Kim Gil Jung","070126","-",57,"0()",64.2,,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"-","레이싱갤러퍼","RACING GALLOPER","0039061",0,0,0,0,0,0,0,0,"김도현","Kim Do Hyun","080381","부산경남","한국",99,"이종훈","Lee Jong Hun",105127,0,28,20200223,"일요일",1,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"손병직","Son Byoung Jig","070246","-",53.5,"0()",3.1,,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"-","애니굿데이","ANY GOOD DAY","0039654",0,0,0,0,0,0,0,0,"김태경","Kim Tae Kyung","080296","부산경남","한국",99,"정경목","Jung Kyung Mok",115005,0,32,20200223,"일요일",1,0,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"윤영훈","Youn Young Hun","070133","-",54,"0()",53.5,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"-","치프타임","CHIEF TIME","0040023",0,0,0,0,0,0,0,0,"김동영","Kim Dong Young","080401","부산경남","미국",99,"박웅진","Park Ung Jin",103007,0,32,20200223,"일요일",1,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"윤영훈","Youn Young Hun","070133","-",55.5,"0()",64.2,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-","킹스랜딩","KINGS LANDING","0040340",0,0,0,0,0,0,0,0,"서승운","Seo Seung Un","080484","부산경남","한국",99,"서종길","Seo Jong Gil",114034,0,30,20200223,"일요일",1,0,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"오문식","OH MOON SIK","070112","-",52.5,"0()",9999.9,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"-","카피댓","COPY THAT","0040374",0,0,0,0,0,0,0,0,"정우주","Jeong Woo Ju","080588","부산경남","한국",99,"페가수스","Pegasus","065127",0,32,20200223,"일요일",1,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"울즐리","Peter Wolsley","070156","-",54,"0()",32.1,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"-","저스트윈","JUST WIN","0040504",0,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","한국",99,"고광숙","Ko Gwang Suk","010813",0,29,20200223,"일요일",1,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"김보경","KIM BO KYUNG","070195","-",53.5,"0()",6.4,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"-","영원다이너모","YEONGWON DYNAMO","0040735",0,0,0,0,0,0,0,0,"프랑소와","Francois Morne Herholdt","080590","부산경남","한국",99,"이종훈","Lee Jong Hun",105127,0,27,20200223,"일요일",1,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"백광열","Baik Kwang Yeol","070130","-",52.5,"0()",3.1,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-","원픽","ONE PICK","0040643",0,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","한국",99,"신우철","Shin Woo Cheol",110056,0,31,20200223,"일요일",2,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"김길중","Kim Gil Jung","070126","-",55.5,"0()",26,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"-","미스터밸러","MR. VALOR","0040892",0,0,0,0,0,0,0,0,"이성재","Lee Sung Jae","080431","부산경남","한국",99,"이시돌협회","Isidore Farm",103012,0,28,20200223,"일요일",2,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"울즐리","Peter Wolsley","070156","-",54.5,"0()",9999.9,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"-","닥터스카이","DOCTOR SKY","0041044",0,0,0,0,0,0,0,0,"서승운","Seo Seung Un","080484","부산경남","한국",99,"권혁희","Kwon Hyeok Hui",117002,0,26,20200223,"일요일",2,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"백광열","Baik Kwang Yeol","070130","-",53.5,"0()",52,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"-","파워트레인","POWER TRAIN","0041411",0,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",99,"백수현","Baek Su Hyeon",113123,0,30,20200223,"일요일",2,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"토마스","Thomas Gillespie","070194","-",55.5,"0()",1.9,,,,,,,,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"-","가오","GAO","0035904",0,0,0,0,0,0,0,0,"김태훈","Kim Tae Hun","080512","부산경남","한국",99,"차청일","Cha Cheong Il",201751,0,21,20200223,"일요일",2,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"조용배","Cho Yong Bae","070137","-",53,"0()",52,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"-","드림체이서","DREAM CHASER","0040262",0,0,0,0,0,0,0,0,"김어수","Kim Eu Soo","080403","부산경남","한국",99,"김삼목","Kim Sam Mok",118027,0,26,20200223,"일요일",2,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"권승주","Kwon Sung Ju","070086","-",53.5,"0()",52,,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"-","마루짱","MARU JJANG","0039412",0,0,0,0,0,0,0,0,"박재이","Park Jae I","080546","부산경남","한국",99,"강애순","Kang Ae Soon",112043,0,25,20200223,"일요일",2,0,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"강병은","KANG BYUNG EUN","070135","-",52,"0()",52,,,,,,,,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"-","쾌속볼트","KWAESOK BOLT","0034090",0,0,0,0,0,0,0,0,"정우주","Jeong Woo Ju","080588","부산경남","한국",99,"이시환","Lee Si Hwan",104069,0,30,20200223,"일요일",2,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"최기홍","Choi Ki Hong","070129","-",55,"0()",52,,,,,,,,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"-","매력덩어리","MAERYEOK DEONGEORI","0033010",0,0,0,0,0,0,0,0,"채상현","Chae Sang Hyun","080532","부산경남","미국",99,"이광열","Lee Kwang Youl",104159,0,21,20200223,"일요일",2,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"임동창","Im Dong Chang","070138","-",53,"0()",7.4,,,,,,,,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"-","에이스질주","ACE JILJU","0036545",0,0,0,0,0,0,0,0,"프랑소와","Francois Morne Herholdt","080590","부산경남","미국",99,"이광열","Lee Kwang Youl",104159,0,33,20200223,"일요일",2,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"이정표","Lee Jung Pyo","070132","-",57,"0()",7.4,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"-","재색명리","JAESAENGMYEONGNI","0036871",0,0,0,0,0,0,0,0,"유광희","Lyu Gwang Hee","080483","부산경남","한국",99,"김응수","Kim Eung Soo",106229,0,25,20200223,"일요일",2,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"김길중","Kim Gil Jung","070126","-",54,"0()",9999.9,,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"-","퀸업","QUEEN UP","0039230",0,0,0,0,0,0,0,0,"이효식","Lee Hyo Sik","080564","부산경남","한국",99,"김정두","Kim Jung Du","065066",0,34,20200223,"일요일",2,0,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"강병은","KANG BYUNG EUN","070135","-",55,"0()",3.3,,,,,,,,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-","신비한질주","SINBIHAN JILJU","0035955",0,0,0,0,0,0,0,0,"김태경","Kim Tae Kyung","080296","부산경남","한국",99,"이동헌","Lee Dong Heon",111082,0,41,20200223,"일요일",3,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"윤영훈","Youn Young Hun","070133","-",53.5,"0()",9999.9,,,,,,,,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"-","미오","MIO","0035980",0,0,0,0,0,0,0,0,"진겸","Jin Kyum","080551","부산경남","한국",99,"변완수","Byun Wan Soo",111225,0,39,20200223,"일요일",3,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"오문식","OH MOON SIK","070112","-",52.5,"0()",9999.9,,,,,,,,
