Real Winner Name,Real Winner Time,Predict Winner Name,Predict Winner Time,Win Odds,Is Predict Success,RC No,RC Date,RC Dist,Earn Money,Left Money
매직위드유,62.6,더플레이어,65.29210417864107,2.9,false,1,20230603,0,0,9900000
마이선더,75.8,마이선더,76.0195461406197,1.7,true,2,20230603,0,170000,9970000
찬란한불꽃,82.5,그랜드실버,82.52527131286799,9.1,false,3,20230603,0,0,9870000
투어퀸,81.8,원평축제,5.4344772571780755,2.2,false,4,20230603,0,0,9770000
영원파이터,74.2,서울스퍼트,76.02018481416623,1.5,false,5,20230603,0,0,9670000
블랙건,88.5,히든브레인,89.15561859575924,6.6,false,6,20230603,0,0,9570000
국대클래스,80.5,선드래곤,82.22647165255208,6.6,false,7,20230603,0,0,9470000
화씨벽,102.5,헌터블레이드,101.42680905405042,8.7,false,8,20230603,0,0,9370000
이스트반,86.3,디스챌린지,89.32873347341369,6.8,false,9,20230603,0,0,9270000
바이스로이,73.3,흥드림,75.93455457050091,8.6,false,10,20230603,0,0,9170000
쏘아라미미,74.7,대장별,75.8261121256491,1.6,false,1,20230604,0,0,9070000
송암드래건,82.9,송암드래건,82.5037937315132,1.8,true,2,20230604,0,180000,9150000
위즈업,81.3,티즈인디,82.24369286960827,31.5,false,3,20230604,0,0,9050000
머스탱참,75.2,히어로사랑,76.02018481416623,7.5,false,4,20230604,0,0,8950000
콜조이,73.4,글로벌강타,75.8261121256491,5.5,false,5,20230604,0,0,8850000
뉴청파,86.6,아르고리치,89.09116251426683,3.1,false,6,20230604,0,0,8750000
디자이어투윈,113.8,어나더레벨,112.68462800622254,15.4,false,7,20230604,0,0,8650000
미스양호,117.4,이글포인트,117.19977811393618,10.1,false,8,20230604,0,0,8550000
노던타임,99.2,흑전사,100.69244857069225,5.4,false,9,20230604,0,0,8450000
컴플리트타임,86.3,최강블랙,89.3072558920589,5.2,false,10,20230604,0,0,8350000
스퍼트빗,61.9,스퍼트빗,63.3024854559082,1.2,true,1,20230610,0,120000,8370000
플라잉스타,62.3,걸작원,63.3024854559082,8.5,false,2,20230610,0,0,8270000
스터닝레이디,75.0,민트플레이,76.32317378247326,28.1,false,3,20230610,0,0,8170000
광치기,74.1,캐츠아이,75.72074648030379,17.7,false,4,20230610,0,0,8070000
아침동자,81.4,아침동자,82.5037937315132,2.7,true,5,20230610,0,270000,8240000
라온더찰리,88.0,대마지풍,3.3998879560168733,7.9,false,6,20230610,0,0,8140000
베스트선,86.8,스포블레이드,89.09116251426683,7.4,false,7,20230610,0,0,8040000
라스트펀치,73.3,파이어걸,75.82675079919564,5.2,false,8,20230610,0,0,7940000
그린폭주,112.2,해운대갈매기,112.6873657026672,14.6,false,9,20230610,0,0,7840000
