age,hrNo,jkNo,owNo,rcDist,sex,trNo,track,weather,wgHr,winOdds,rcNo,rcDate,hrName,meet,rcTime,predicted_time
3,46334,80366,10252,1300,2,70157,9,1,479,10.7,1,20230625,원더풀남촌,서울,82.5,82.3799418721271
3,45207,80513,112270,1300,1,70225,9,1,467,10.0,1,20230625,세븐블레이드,서울,82.7,82.3103597165426
3,45718,80547,117025,1300,2,70175,9,1,482,5.5,1,20230625,버터케이,서울,82.8,82.17498042381726
3,46555,80405,10559,1300,2,70149,9,1,515,10.6,1,20230625,플라잉제스트,서울,83.0,82.22647165255208
3,46242,80486,112005,1300,1,70167,9,1,490,40.1,1,20230625,파워풀비전,서울,83.0,82.15775920676107
3,46368,80602,10159,1300,2,70181,9,1,496,12.6,1,20230625,신의함성,서울,83.3,82.36272065507092
3,45612,80608,111006,1300,1,70200,9,1,502,14.1,1,20230625,세상앞으로,서울,83.5,82.15775920676107
3,45847,80337,121021,1300,1,70163,9,1,435,10.8,1,20230625,피닉스클래스,서울,83.5,82.80678269982023
3,46547,80576,115008,1300,2,70174,9,1,472,2.0,1,20230625,라파예트,서울,84.3,82.22221528825348
3,45578,80550,65093,1300,2,70199,9,1,450,40.7,1,20230625,질풍선더,서울,87.9,82.56235545837566
3,51143,80562,113008,1300,1,70179,9,1,450,0.0,1,20230625,주얼리패션,서울,0.0,82.54087787702088
3,45896,80550,105180,1300,1,70177,9,1,455,44.2,2,20230625,승리의영혼,서울,82.8,82.52527131286799
3,45588,80487,65154,1300,2,70166,9,1,508,2.1,2,20230625,시대의명작,서울,82.9,82.22647165255208
3,45313,80512,104060,1300,1,70110,9,1,511,6.2,2,20230625,하트시그널,서울,83.2,82.22647165255208
3,46360,80602,117024,1300,1,70168,9,1,469,3.7,2,20230625,브라보한센,서울,83.5,82.3103597165426
5,42321,80609,116043,1300,3,70198,9,1,464,26.2,2,20230625,투에이스,서울,83.9,82.37385258455315
3,46372,80582,121010,1300,3,70199,9,1,530,8.6,2,20230625,나올탱크,서울,84.2,82.15775920676107
3,46108,80579,119023,1300,1,70146,9,1,500,113.0,2,20230625,신의블루,서울,84.4,82.15775920676107
3,45734,80547,10801,1300,3,70166,9,1,482,30.9,2,20230625,파워에치드,서울,84.4,82.24369286960827
3,45606,80014,104112,1300,2,70225,9,1,475,19.2,2,20230625,성실롱런,서울,84.5,82.24369286960827
4,44464,80337,109004,1300,1,70098,9,1,493,79.5,2,20230625,거문,서울,84.8,82.08630906452541
5,42646,80598,116053,1300,1,70181,9,1,461,14.2,2,20230625,제로백파이브,서울,86.6,82.37385258455315
3,46539,80487,10355,1200,1,70174,9,1,486,7.7,3,20230625,컴플리트스텝,서울,76.4,75.72074648030379
3,45494,80366,65154,1200,2,70166,9,1,475,6.1,3,20230625,오스틴리더,서울,76.5,75.73796769735998
3,46237,80609,122013,1200,1,70145,9,1,457,21.3,3,20230625,용비천,서울,76.6,76.02018481416623
3,46290,80602,121052,1200,3,70161,9,1,482,1.7,3,20230625,퍼플윙크,서울,76.8,75.69137150647029
3,45958,80562,10422,1200,3,70160,9,1,438,29.3,3,20230625,온더록스,서울,77.3,76.20648081003003
3,45362,80608,121053,1200,1,70117,9,1,512,78.0,3,20230625,반도희망,서울,77.3,75.6741502894141
3,45901,80337,110007,1200,1,70152,9,1,436,68.7,3,20230625,에이스퀸,서울,77.6,76.32317378247326
3,45786,80578,121049,1200,1,70095,9,1,439,6.7,3,20230625,라온점프,서울,77.6,76.20711948357656
3,45235,80550,122001,1200,2,70177,9,1,495,12.2,3,20230625,팬시플레이,서울,78.5,75.6741502894141
3,45431,80438,111042,1200,1,70198,9,1,432,32.1,3,20230625,당찬낭보,서울,78.8,76.32317378247326
3,46154,80512,116046,1200,1,70110,9,1,421,104.0,3,20230625,블랙이글스,서울,79.0,76.32317378247326
3,45360,80576,111006,1200,2,70164,9,1,472,3.1,4,20230625,아르고탑,서울,73.9,75.73860637090651
3,45206,80405,112270,1200,3,70175,9,1,463,6.3,4,20230625,불패블레이드,서울,74.4,76.02018481416623
3,45637,80579,118021,1200,2,70163,9,1,497,13.5,4,20230625,오키드밸리,서울,74.5,75.6741502894141
3,45650,80608,10243,1200,3,70146,9,1,510,5.9,4,20230625,쓸모,서울,74.7,75.7470473057399
3,45359,80103,10603,1200,1,70170,9,1,499,24.2,4,20230625,그로우,서울,74.7,75.72074648030379
3,46345,80476,110016,1200,2,70091,9,1,452,16.1,4,20230625,클럽디,서울,74.8,76.0572689596739
3,46473,80434,109017,1200,1,70144,9,1,466,6.1,4,20230625,황금꽃,서울,74.9,76.02018481416623
3,45234,80602,112005,1200,1,70148,9,1,493,6.1,4,20230625,슈프림스타,서울,75.1,75.6741502894141
3,45285,80513,116045,1200,2,70145,9,1,436,48.4,4,20230625,선더브라보,서울,75.6,76.32317378247326
3,45515,80578,111004,1200,1,70164,9,1,483,19.2,4,20230625,유쾌한사랑,서울,75.6,75.6741502894141
3,45802,80550,10264,1200,1,70177,9,1,444,41.4,4,20230625,바람의향기,서울,76.1,76.23278163546614
3,45920,80405,104038,1300,3,70167,9,1,497,2.7,5,20230625,헤이큐피드,서울,79.9,82.22647165255208
4,44497,80122,114004,1300,2,70161,9,1,470,15.8,5,20230625,올포유어드림,서울,80.7,82.3103597165426
4,44478,80337,121021,1300,2,70163,9,1,458,5.1,5,20230625,탱자,서울,80.8,82.5037937315132
