Real Winner Name,Real Winner Time,Predict Winner Name,Predict Winner Time,Win Odds,Is Predict Success,RC No,RC Date,RC Dist,Earn Money,Left Money
업타운위즈,81.2,새내칸,83.83389917350107,3.4,false,1,20230107,0,0,9900000
왈가닥,76.6,캔디글로우,76.07709786142644,7.7,false,2,20230107,0,0,9800000
강한퀸,75.7,아르고탑,74.22592941990108,13.9,false,3,20230107,0,0,9700000
너를응원해,114.8,너를응원해,108.39326504751801,3.2,true,4,20230107,0,320000,9920000
야무진재수,103.1,퀴클리런,105.72206315761355,2.4,false,5,20230107,0,0,9820000
논스톱위닝,88.9,누비고,29.78911850754541,6.6,false,6,20230107,0,0,9720000
슈어윈,81.6,블랙초콜릿,85.4756164903284,4.7,false,7,20230107,0,0,9620000
컴플리트엔젤,75.9,내길의퀸,72.69564405165814,3.7,false,8,20230107,0,0,9520000
베스트천상,75.1,베스트천상,73.08414559127938,1.8,true,9,20230107,0,180000,9600000
스마트전사,88.4,도끼불패,91.91973605700122,15.5,false,10,20230107,0,0,9500000
베스트럭키,88.3,케이엔매직,90.51355690250963,22.9,false,11,20230107,0,0,9400000
천지여걸,134.2,장산포이즌,130.24709170737685,11.5,false,12,20230107,0,0,9300000
글로벌진격,76.6,최강현마,75.85728814157538,5.0,false,1,20230108,0,0,9200000
아르고공주,83.6,나올시대,83.24832963268346,9.8,false,2,20230108,0,0,9100000
위대한한마,83.6,큐피드챔프,84.49942391578008,7.6,false,3,20230108,0,0,9000000
항구스타,77.0,백두보이,73.48735436979149,18.3,false,4,20230108,0,0,8900000
라온더퀄리티,74.8,라온더퀄리티,76.27231385559008,1.5,true,5,20230108,0,150000,8950000
라로마네,82.6,히든브레인,82.39986608163339,11.7,false,6,20230108,0,0,8850000
불화산,115.0,원평킬라,106.21609311703767,10.6,false,7,20230108,0,0,8750000
최고블랙,112.3,최고블랙,108.39577730019064,2.0,true,8,20230108,0,200000,8850000
원더풀데블,119.6,해들뫼,122.26719893077254,14.1,false,9,20230108,0,0,8750000
흥록대부,118.4,소울메리트,124.0981745334795,7.1,false,10,20230108,0,0,8650000
탭다운,74.7,글로벌보배,70.63731573196979,19.4,false,11,20230108,0,0,8550000
오키드밸리,74.8,오키드밸리,75.48750913150015,2.1,true,1,20230114,0,210000,8660000
나올고니,80.4,나올고니,87.91488799946953,1.6,true,2,20230114,0,160000,8720000
파워풀삭스,80.0,배다리왕자,81.66514188706147,3.3,false,3,20230114,0,0,8620000
스트렝스,73.7,마이티쎈,13.916671115371258,1.2,false,4,20230114,0,0,8520000
불곰마드레,72.8,용비서울,68.42287384689186,5.4,false,5,20230114,0,0,8420000
메니에이스,79.9,아인슈페너,82.65940571789845,19.2,false,6,20230114,0,0,8320000
원더풀위크,85.0,원더풀위크,90.37536030622931,2.7,true,7,20230114,0,270000,8490000
그랜드스타,110.1,그랜드파워,114.75296436199253,5.5,false,8,20230114,0,0,8390000
햇무리,115.5,드래곤스타,122.82718650157003,8.8,false,9,20230114,0,0,8290000
자이언트킬링,72.4,문학스톰,78.79242751633845,4.4,false,10,20230114,0,0,8190000
탑퀄리티,85.2,최강블레이드,28.27609865506338,12.9,false,11,20230114,0,0,8090000
스트라이드업,85.5,원더풀키티,88.78311553156507,35.5,false,12,20230114,0,0,7990000
티즈인디,80.2,새내비바,74.90615652473372,4.8,false,1,20230115,0,0,7890000
검이불루,74.1,네이비크롬,15.663238429944407,1.6,false,2,20230115,0,0,7790000
탄산,75.5,천존챗,71.89046501049924,7.3,false,3,20230115,0,0,7690000
디자이어투윈,87.4,슈발도리앙,87.33863709903946,4.5,false,4,20230115,0,0,7590000
영영삭스,86.1,럭키파워,89.10052264407196,6.9,false,5,20230115,0,0,7490000
한강돌풍,99.3,용호지마,109.55516353239437,10.7,false,6,20230115,0,0,7390000
이다나은,79.2,이다나은,82.93144989745606,3.4,true,7,20230115,0,340000,7630000
기쁨환호,73.4,기쁨환호,72.86578136886939,2.6,true,8,20230115,0,260000,7790000
문학태핏,9999,나올스나이퍼,114.10288048716282,11.3,false,9,20230115,0,0,7690000
