Real Winner Name,Real Winner Time,Predict Winner Name,Predict Winner Time,Win Odds,Is Predict Success,RC No,RC Date,RC Dist,Earn Money,Left Money
업타운위즈,81.2,할슈타트,98.37571292215169,3.4,false,1,20230107,0,0,9900000
왈가닥,76.6,캔디글로우,86.00024046464522,7.7,false,2,20230107,0,0,9800000
강한퀸,75.7,원더풀하와이,85.22737382329477,13.9,false,3,20230107,0,0,9700000
너를응원해,114.8,대천챔프,111.96596305103002,3.2,false,4,20230107,0,0,9600000
야무진재수,103.1,해피삭스,112.44101306965011,2.4,false,5,20230107,0,0,9500000
논스톱위닝,88.9,누비고,59.76985222413804,6.6,false,6,20230107,0,0,9400000
슈어윈,81.6,슈어윈,96.70254885164012,4.7,true,7,20230107,0,470000,9770000
컴플리트엔젤,75.9,컴플리트엔젤,90.67897860539232,3.7,true,8,20230107,0,370000,10040000
베스트천상,75.1,글로벌골드,88.06108172257426,1.8,false,9,20230107,0,0,9940000
스마트전사,88.4,챌린지삭스,97.88221735421256,15.5,false,10,20230107,0,0,9840000
베스트럭키,88.3,화이트퀸,97.72102691408644,22.9,false,11,20230107,0,0,9740000
천지여걸,134.2,레이먼드,129.86598867785324,11.5,false,12,20230107,0,0,9640000
글로벌진격,76.6,용비천,88.58612664723204,5.0,false,1,20230108,0,0,9540000
아르고공주,83.6,하이본미,97.36114431816075,9.8,false,2,20230108,0,0,9440000
위대한한마,83.6,골든럭키,95.05438509606846,7.6,false,3,20230108,0,0,9340000
항구스타,77.0,테스메리,88.67406923153384,18.3,false,4,20230108,0,0,9240000
라온더퀄리티,74.8,남산꽃,86.34184974759772,1.5,false,5,20230108,0,0,9140000
라로마네,82.6,원모어러시,95.71970579337084,11.7,false,6,20230108,0,0,9040000
불화산,115.0,콰이어트참,117.6235218957322,10.6,false,7,20230108,0,0,8940000
최고블랙,112.3,초인강자,116.4394366725637,2.0,false,8,20230108,0,0,8840000
원더풀데블,119.6,뉴문워리어,116.48224859428727,14.1,false,9,20230108,0,0,8740000
흥록대부,118.4,다크플레이어,118.94078836834022,7.1,false,10,20230108,0,0,8640000
탭다운,74.7,글로벌보배,85.95375161986293,19.4,false,11,20230108,0,0,8540000
오키드밸리,74.8,메티스선더,87.94360380416673,2.1,false,1,20230114,0,0,8440000
나올고니,80.4,베스트선샤인,94.85668036954938,1.6,false,2,20230114,0,0,8340000
파워풀삭스,80.0,샤프선샤인,88.23954263601944,3.3,false,3,20230114,0,0,8240000
스트렝스,73.7,마이티쎈,50.864053782448984,1.2,false,4,20230114,0,0,8140000
