Real Winner Name,Real Winner Time,Predict Winner Name,Predict Winner Time,Win Odds,Is Predict Success,RC No,RC Date,RC Dist,Earn Money,Left Money
록앤드롤,84.0,수산공주,0.0,1.1,false,1,20230106,0,0,9900000
닥터티파니,75.7,유핑,0.0,2.3,false,2,20230106,0,0,9800000
와이즈킹,75.2,거서간,70.9365901558863,1.3,false,3,20230106,0,0,9700000
황우파이터,89.2,황우파이터,71.96300267724652,1.6,true,4,20230106,0,160000,9760000
런앤드건,87.7,런앤드건,71.96300267724652,101.4,true,5,20230106,0,10140000,19800000
골드천사,81.6,골드천사,71.96300267724652,2.0,true,6,20230106,0,200000,19900000
백두정복,74.3,백두정복,70.9365901558863,3.8,true,7,20230106,0,380000,20180000
야망질주,66.0,야망질주,70.9365901558863,3.8,true,8,20230106,0,380000,20460000
스타아이,116.3,스타아이,71.96300267724652,4.4,true,9,20230106,0,440000.00000000006,20800000
월드포에이,101.1,월드포에이,71.96300267724652,5.1,true,10,20230106,0,509999.99999999994,21210000
업타운위즈,81.2,흑룡부대,70.9365901558863,3.4,false,1,20230107,0,0,21110000
왈가닥,76.6,성공기원,70.9365901558863,7.7,false,2,20230107,0,0,21010000
강한퀸,75.7,제주정복,70.9365901558863,13.9,false,3,20230107,0,0,20910000
태상노군,92.4,푸른물결,71.96300267724652,10.0,false,4,20230107,0,0,20810000
오라스타,86.6,새벽바람,71.96300267724652,1.2,false,5,20230107,0,0,20710000
청룡시대,76.5,누비고,0.0,6.1,false,6,20230107,0,0,20610000
이치,65.4,이치,70.9365901558863,1.7,true,7,20230107,0,170000,20680000
컴플리트엔젤,75.9,컴플리트엔젤,71.96300267724652,3.7,true,8,20230107,0,370000,20950000
베스트천상,75.1,베스트천상,71.96300267724652,1.8,true,9,20230107,0,180000,21030000
스마트전사,88.4,스마트전사,71.96300267724652,15.5,true,10,20230107,0,1550000,22480000
베스트럭키,88.3,베스트럭키,71.96300267724652,22.9,true,11,20230107,0,2290000,24670000
천지여걸,134.2,라온비트,88.07824149108565,11.5,false,12,20230107,0,0,24570000
석세스모카,74.4,석세스모카,71.96300267724652,6.9,true,1,20230108,0,690000,25160000
로즈파이터,82.9,로즈파이터,71.96300267724652,35.5,true,2,20230108,0,3550000,28610000
위대한한마,83.6,위대한한마,71.96300267724652,7.6,true,3,20230108,0,760000,29270000
항구스타,77.0,항구스타,71.96300267724652,18.3,true,4,20230108,0,1830000,31000000
초이스런,73.9,초이스런,71.96300267724652,1.8,true,5,20230108,0,180000,31080000
라로마네,82.6,라로마네,71.96300267724652,11.7,true,6,20230108,0,1170000,32150000
불화산,115.0,불화산,71.96300267724652,10.6,true,7,20230108,0,1060000,33110000
최고블랙,112.3,최고블랙,71.96300267724652,2.0,true,8,20230108,0,200000,33210000
원더풀데블,119.6,원더풀데블,71.96300267724652,14.1,true,9,20230108,0,1410000,34520000
흥록대부,118.4,흥록대부,71.96300267724652,7.1,true,10,20230108,0,710000,35130000
탭다운,74.7,탭다운,71.96300267724652,19.4,true,11,20230108,0,1939999.9999999998,36970000
스타퓨리,74.5,낭만세상,70.9365901558863,3.4,false,1,20230113,0,0,36870000
함평이즈백,80.9,탐라의힘,70.9365901558863,14.0,false,2,20230113,0,0,36770000
구디,81.0,청마제일,70.9365901558863,3.0,false,3,20230113,0,0,36670000
가왕신화,94.7,가왕신화,70.97350932250316,4.7,true,4,20230113,0,470000,37040000
글로벌히트,73.1,범나비,70.97350932250316,5.7,false,5,20230113,0,0,36940000
아름다운인연,78.7,세종도시,58.72951075336437,12.6,false,6,20230113,0,0,36840000
영광의탱크,86.1,일출명마,55.85165805113085,9.4,false,7,20230113,0,0,36740000
선마운틴,100.1,전설파도,55.85165805113085,16.2,false,8,20230113,0,0,36640000
스타마타,113.3,킹그레이스,71.96300267724652,2.6,false,9,20230113,0,0,36540000
어게인터치,72.1,어게인터치,71.96300267724652,3.0,true,10,20230113,0,300000,36740000
오키드밸리,74.8,명경지수,55.85165805113085,2.1,false,1,20230114,0,0,36640000
나올고니,80.4,탐라인기,58.25503153067005,1.6,false,2,20230114,0,0,36540000
파워풀삭스,80.0,명성스타,58.72951075336437,3.3,false,3,20230114,0,0,36440000
스트렝스,73.7,마이티쎈,39.746761998685216,1.2,false,4,20230114,0,0,36340000
불곰마드레,72.8,추상열일,58.72951075336437,5.4,false,5,20230114,0,0,36240000
메니에이스,79.9,백야명성,55.85165805113085,19.2,false,6,20230114,0,0,36140000
원더풀위크,85.0,전승환호,0.0,2.7,false,7,20230114,0,0,36040000
그랜드스타,110.1,그랜드스타,71.96300267724652,5.5,true,8,20230114,0,550000,36490000
햇무리,115.5,원퍼트,71.96300267724652,8.8,false,9,20230114,0,0,36390000
자이언트킬링,72.4,자이언트킬링,71.96300267724652,4.4,true,10,20230114,0,440000.00000000006,36730000
탑퀄리티,85.2,최강블레이드,0.0,12.9,false,11,20230114,0,0,36630000
스트라이드업,85.5,스트라이드업,71.96300267724652,35.5,true,12,20230114,0,3550000,40080000
티즈인디,80.2,티즈인디,70.97350932250316,4.8,true,1,20230115,0,480000,40460000
팬텀에이스,73.6,네이비크롬,0.0,3.4,false,2,20230115,0,0,40360000
탄산,75.5,탄산,71.96300267724652,7.3,true,3,20230115,0,730000,40990000
알파송당,73.1,알파송당,71.96300267724652,13.6,true,4,20230115,0,1360000,42250000
영영삭스,86.1,영영삭스,71.96300267724652,6.9,true,5,20230115,0,690000,42840000
바베어리언,96.8,바베어리언,71.96300267724652,3.5,true,6,20230115,0,350000,43090000
이다나은,79.2,이다나은,71.96300267724652,3.4,true,7,20230115,0,340000,43330000
기쁨환호,73.4,기쁨환호,71.96300267724652,2.6,true,8,20230115,0,260000,43490000
