age,hrNo,jkNo,owNo,rcDist,sex,trNo,track,weather,wgHr,winOdds,rcNo,rcDate,hrName,rcTime,predicted_time
3,46029,80421,117054,1300,3,70137,2,1.0,496,2.4,1,20230129,패스트건,81.3,71.96300267724652
3,45215,80610,110058,1300,2,70086,2,1.0,461,26.9,1,20230129,다이아보스,81.5,71.96300267724652
3,45403,80484,121009,1300,2,70128,2,1.0,493,4.3,1,20230129,황우머니,81.5,71.96300267724652
3,45845,80568,109150,1300,2,70086,2,1.0,501,48.2,1,20230129,케이골드바,82.1,71.96300267724652
3,45167,80546,105040,1300,3,70136,2,1.0,489,5.1,1,20230129,캡틴코만도,82.3,71.96300267724652
3,46394,80600,112287,1300,2,70156,2,1.0,454,17.3,1,20230129,해피블루,82.7,71.96300267724652
3,46556,80605,105127,1300,2,70224,2,1.0,504,39.3,1,20230129,석세스플라잉,83.1,71.96300267724652
3,45312,80566,104123,1300,1,70141,2,1.0,432,7.9,1,20230129,브레이브캡틴,83.6,71.96300267724652
3,46218,80381,105119,1300,1,70249,2,1.0,462,36.1,1,20230129,대호나라,83.8,71.96300267724652
3,46126,80403,112010,1300,1,70127,2,1.0,464,81.8,1,20230129,딴봉퀸,84.3,71.96300267724652
3,46208,80379,122008,1300,2,70143,2,1.0,489,96.7,1,20230129,해랑강자,86.3,71.96300267724652
3,45560,80376,112003,1300,2,70125,2,1.0,450,12.5,1,20230129,스카이펀치,0.0,71.96300267724652
3,45441,80600,104081,1200,1,70127,2,1.0,484,2.6,2,20230129,메타퀸,74.7,71.96300267724652
3,45171,80546,104127,1200,2,70136,2,1.0,471,1.7,2,20230129,하늘제왕,75.5,71.96300267724652
3,45947,80484,112286,1200,1,70128,2,1.0,454,14.7,2,20230129,스카이샷,76.8,71.96300267724652
3,45176,80566,118013,1200,1,70136,2,1.0,488,23.8,2,20230129,운주마하,76.9,71.96300267724652
3,45866,80605,104100,1200,2,70142,2,1.0,474,104.1,2,20230129,월드포인트,77.4,71.96300267724652
5,42949,80403,65102,1200,1,70223,2,1.0,427,71.9,2,20230129,챌린저레전드,77.6,71.96300267724652
4,44079,80568,104146,1200,2,70176,2,1.0,503,111.4,2,20230129,렛츠고고,77.9,71.96300267724652
4,44819,80381,110058,1200,2,70226,2,1.0,490,74.5,2,20230129,다이아스피릿,77.9,71.96300267724652
4,44580,80607,65095,1200,2,70132,2,1.0,484,39.0,2,20230129,원더풀차차,78.1,71.96300267724652
3,45552,80401,113133,1200,1,70125,2,1.0,472,26.9,2,20230129,바벨하트,78.2,71.96300267724652
3,46132,80411,65079,1200,2,70125,2,1.0,514,24.7,2,20230129,우승무패,78.2,71.96300267724652
3,45532,80296,122014,1200,1,70127,2,1.0,483,71.2,2,20230129,푸른열정,79.0,71.96300267724652
3,45907,80566,117054,1400,3,70136,2,1.0,513,4.0,3,20230129,위드선,86.7,71.96300267724652
3,45846,80546,120003,1400,2,70086,2,1.0,489,11.5,3,20230129,여수파이터,87.6,71.96300267724652
3,45777,80568,114004,1400,2,70249,2,1.0,490,7.5,3,20230129,올오어낫싱,87.8,71.96300267724652
3,45262,80403,117053,1400,3,70224,2,1.0,505,7.6,3,20230129,벌교의꿈,88.2,71.96300267724652
3,45478,80484,118030,1400,2,70128,2,1.0,511,4.7,3,20230129,백투더레전드,88.5,71.96300267724652
4,44255,80605,65126,1400,3,70173,2,1.0,465,9.0,3,20230129,마이티스톰,88.5,71.96300267724652
4,43833,80607,111082,1400,1,70132,2,1.0,467,22.5,3,20230129,타이탄케이,88.6,71.96300267724652
5,42925,80379,111072,1400,3,70194,2,1.0,474,27.0,3,20230129,에이스포텐,88.7,71.96300267724652
3,45565,80423,119005,1400,2,70086,2,1.0,493,15.3,3,20230129,블루모어,88.8,71.96300267724652
5,42556,80606,112004,1400,1,70127,2,1.0,467,32.4,3,20230129,마이스타,89.6,71.96300267724652
4,44662,80421,121026,1400,1,70173,2,1.0,442,14.5,3,20230129,패션포스원,89.7,71.96300267724652
3,45558,80600,111077,1400,1,70194,2,1.0,455,13.2,3,20230129,원더풀앤도버,91.1,71.96300267724652
4,44864,80610,110056,1800,2,70121,2,1.0,468,6.1,4,20230129,아이윌비프리,116.4,110.41227874045099
4,44215,80484,121051,1800,1,70086,2,1.0,486,4.0,4,20230129,은성위너,116.5,110.41227874045099
5,42989,80546,113115,1800,1,70128,2,1.0,483,7.8,4,20230129,호랭이,117.0,71.96300267724652
6,41492,80607,114033,1800,3,70173,2,1.0,503,8.7,4,20230129,그레이트댄스,117.2,71.96300267724652
3,45524,80605,201269,1800,2,70086,2,1.0,481,20.7,4,20230129,마하원더,117.3,74.67123687281224
3,46211,80423,105127,1800,2,70130,2,1.0,489,5.1,4,20230129,아르크투루스,117.3,74.67123687281224
4,44118,80568,118013,1800,2,70249,2,1.0,495,10.1,4,20230129,운주스타,118.2,110.41227874045099
5,42499,80403,117004,1800,3,70224,2,1.0,516,20.0,4,20230129,영원파워,118.8,71.96300267724652
6,40608,80421,117038,1800,3,70141,2,1.0,496,26.6,4,20230129,금아굿포인트,119.0,71.96300267724652
5,42365,80381,104077,1800,3,70125,2,1.0,501,34.1,4,20230129,당대블루,119.3,71.96300267724652
4,44013,80566,118013,1800,2,70136,2,1.0,516,9.5,4,20230129,운주불패,119.8,110.41227874045099
6,43467,80588,106255,1800,3,70141,2,1.0,571,37.8,4,20230129,라스트가디언,120.0,71.96300267724652
3,45245,80484,110034,1400,1,70123,2,1.0,497,2.3,5,20230129,즐거운여정,86.2,71.96300267724652
4,44795,80423,103007,1400,2,70130,2,1.0,503,18.7,5,20230129,화랑베스트,86.4,71.96300267724652
6,40643,80546,112292,1400,2,70121,2,1.0,468,6.5,5,20230129,원픽,87.0,71.96300267724652
5,45668,80607,105113,1400,1,70134,2,1.0,518,30.8,5,20230129,언브레이크,87.3,71.96300267724652
6,43634,80482,104129,1400,1,70141,2,1.0,453,27.9,5,20230129,부경천사,88.0,71.96300267724652
6,41292,80606,112004,1400,3,70128,2,1.0,470,36.1,5,20230129,에코선,88.0,71.96300267724652
4,44252,80568,110048,1400,2,70128,2,1.0,519,3.7,5,20230129,영광의레전드,88.4,71.96300267724652
5,42515,80604,214708,1400,1,70129,2,1.0,481,17.9,5,20230129,버닝파티,88.4,71.96300267724652
4,43733,80566,121059,1400,1,70143,2,1.0,484,10.1,5,20230129,케이에프원,88.8,71.96300267724652
6,41239,80605,112270,1400,2,70249,2,1.0,479,22.5,5,20230129,청담드라이브,89.3,71.96300267724652
5,44756,80600,65154,1400,3,70133,2,1.0,447,46.7,5,20230129,위너스타임,89.3,71.96300267724652
5,45142,80401,112290,1400,3,70138,2,1.0,503,43.4,5,20230129,하디찰리,100.5,71.96300267724652
5,44915,80484,106092,2200,3,70186,2,1.0,530,9.5,6,20230129,제시의꿈,140.3,110.41227874045099
5,42337,80568,112008,2200,1,70136,2,1.0,483,6.4,6,20230129,플랫베이브,140.4,110.41227874045099
5,46257,80546,104134,2200,2,70186,2,1.0,536,1.5,6,20230129,투혼의반석,141.0,110.41227874045099
6,44747,80421,114004,2200,3,70173,2,1.0,521,54.6,6,20230129,크레이지콘티,141.1,110.41227874045099
5,42898,80566,117002,2200,2,70130,2,1.0,534,16.4,6,20230129,닥터테이크,141.3,110.41227874045099
6,41718,80423,106075,2200,2,70126,2,1.0,500,20.7,6,20230129,블루파워,141.5,110.41227874045099
7,41784,80604,112021,2200,3,70126,2,1.0,548,31.5,6,20230129,알파킹이지,143.3,110.41227874045099
5,43191,80610,120005,2200,2,70086,2,1.0,486,9.0,6,20230129,마하타이탄,143.6,95.90000000000013
9,38211,80403,105133,2200,2,70127,2,1.0,525,60.0,6,20230129,그레이트킹,149.2,110.41227874045099
6,41460,80600,110056,2200,2,70249,2,1.0,517,35.9,6,20230129,판타스틱맨,149.5,110.41227874045099
3,45969,80423,105127,1200,1,70130,4,1.0,436,2.4,1,20230127,에이스호랑이,77.5,71.96300267724652
3,45805,80431,106075,1200,1,70126,4,1.0,482,16.0,1,20230127,마사랑길,77.5,71.96300267724652
3,45335,80605,109142,1200,1,70134,4,1.0,447,41.8,1,20230127,비케이갤럽,77.9,71.96300267724652
3,45638,80606,105136,1200,1,70224,4,1.0,446,7.4,1,20230127,기적의금빛,78.3,71.96300267724652
3,46005,80546,119020,1200,1,70132,4,1.0,469,4.4,1,20230127,어메이징무브,78.5,71.96300267724652
3,46553,80402,104148,1200,1,70173,4,1.0,444,68.9,1,20230127,모로,79.0,71.96300267724652
3,45596,80484,105113,1200,1,70134,4,1.0,468,7.4,1,20230127,매직스위티,79.0,71.96300267724652
3,45417,80607,122021,1200,1,70143,4,1.0,470,46.1,1,20230127,아리온퀸,79.3,71.96300267724652
3,46160,80403,117054,1200,1,70136,4,1.0,481,25.4,1,20230127,위드스타,79.5,71.96300267724652
3,45801,80566,118013,1200,1,70223,4,1.0,427,24.3,1,20230127,운주아칸샤,80.0,71.96300267724652
3,46328,80568,109431,1200,1,70246,4,1.0,447,18.3,1,20230127,화랑신화,80.1,71.96300267724652
3,46107,80580,112286,1200,1,70128,4,1.0,485,13.4,1,20230127,시에라선셋,82.9,71.96300267724652
3,45775,80605,117038,1200,2,70123,4,1.0,504,1.1,2,20230127,금아데프트,75.9,71.96300267724652
3,50312,80568,65126,1200,2,70132,4,1.0,472,21.2,2,20230127,로드투글로리,76.9,71.96300267724652
3,45911,80484,105127,1200,2,70130,4,1.0,516,10.5,2,20230127,두바이원정대,77.2,71.96300267724652
3,45740,80421,10644,1200,2,70136,4,1.0,454,73.6,2,20230127,그레이챔프,77.5,71.96300267724652
3,46130,80588,65079,1200,1,70127,4,1.0,457,46.5,2,20230127,다이나믹위너,77.8,71.96300267724652
3,45636,80580,65079,1200,1,70173,4,1.0,427,80.1,2,20230127,해피브리애나,77.9,71.96300267724652
3,50072,80482,104096,1200,2,70136,4,1.0,517,59.5,2,20230127,런투킹,78.3,71.96300267724652
3,46109,80403,121002,1200,1,70143,4,1.0,443,126.8,2,20230127,아쿠아리우스,79.2,71.96300267724652
3,46393,80600,118030,1200,1,70194,4,1.0,486,65.7,2,20230127,판타스틱타임,79.4,71.96300267724652
