Real Winner Name,Real Winner Time,Predict Winner Name,Predict Winner Time,Win Odds,Is Predict Success,RC No,RC Date,RC Dist,Earn Money,Left Money
업타운위즈,81.2,런던비상,79.27998799139766,3.4,false,1,20230107,0,0,9900000
왈가닥,76.6,담쟁이아르고,67.10538248979007,7.7,false,2,20230107,0,0,9800000
강한퀸,75.7,원더풀위싱,69.96550488657583,13.9,false,3,20230107,0,0,9700000
너를응원해,114.8,대천챔프,104.4220848412125,3.2,false,4,20230107,0,0,9600000
야무진재수,103.1,메인오브킹,99.02583494903169,2.4,false,5,20230107,0,0,9500000
논스톱위닝,88.9,누비고,29.78911850754541,6.6,false,6,20230107,0,0,9400000
슈어윈,81.6,슈어윈,74.97113959318409,4.7,true,7,20230107,0,470000,9770000
컴플리트엔젤,75.9,알사이먼,67.7654628156132,3.7,false,8,20230107,0,0,9670000
베스트천상,75.1,불의가속,70.54599312467408,1.8,false,9,20230107,0,0,9570000
스마트전사,88.4,라온더타이거,85.9738343571614,15.5,false,10,20230107,0,0,9470000
베스트럭키,88.3,디스챌린지,85.88740316412893,22.9,false,11,20230107,0,0,9370000
천지여걸,134.2,라온비트,129.34086882697366,11.5,false,12,20230107,0,0,9270000
글로벌진격,76.6,네버어게인,70.52425621872844,5.0,false,1,20230108,0,0,9170000
아르고공주,83.6,레드태풍,78.65158743705126,9.8,false,2,20230108,0,0,9070000
위대한한마,83.6,금아위티,77.2963156782103,7.6,false,3,20230108,0,0,8970000
항구스타,77.0,테스메리,68.87561791450116,18.3,false,4,20230108,0,0,8870000
라온더퀄리티,74.8,남산꽃,70.87332545890425,1.5,false,5,20230108,0,0,8770000
라로마네,82.6,럭키클럽,75.35660508777208,11.7,false,6,20230108,0,0,8670000
불화산,115.0,원평킬라,106.21609311703767,10.6,false,7,20230108,0,0,8570000
최고블랙,112.3,청산영웅,106.83670042817221,2.0,false,8,20230108,0,0,8470000
원더풀데블,119.6,캡틴브라보,114.21431245855487,14.1,false,9,20230108,0,0,8370000
흥록대부,118.4,다크플레이어,114.88768212615176,7.1,false,10,20230108,0,0,8270000
탭다운,74.7,글로벌보배,70.63731573196979,19.4,false,11,20230108,0,0,8170000
오키드밸리,74.8,큐피드시크,69.18458722724526,2.1,false,1,20230114,0,0,8070000
나올고니,80.4,베스트선샤인,73.8421606162164,1.6,false,2,20230114,0,0,7970000
파워풀삭스,80.0,샤프선샤인,74.84283261426665,3.3,false,3,20230114,0,0,7870000
스트렝스,73.7,마이티쎈,13.916671115371258,1.2,false,4,20230114,0,0,7770000
불곰마드레,72.8,블레싱로드,64.80336172375148,5.4,false,5,20230114,0,0,7670000
메니에이스,79.9,성실공주핑크,79.19506368616534,19.2,false,6,20230114,0,0,7570000
원더풀위크,85.0,비플라워,85.14359638888624,2.7,false,7,20230114,0,0,7470000
그랜드스타,110.1,지금여기에,106.24732226080721,5.5,false,8,20230114,0,0,7370000
햇무리,115.5,천마챗,117.73920333033465,8.8,false,9,20230114,0,0,7270000
자이언트킬링,72.4,아침누리,65.39035085683386,4.4,false,10,20230114,0,0,7170000
탑퀄리티,85.2,최강블레이드,28.27609865506338,12.9,false,11,20230114,0,0,7070000
스트라이드업,85.5,큐피드원더,86.64952870387339,35.5,false,12,20230114,0,0,6970000
티즈인디,80.2,새내비바,74.90615652473372,4.8,false,1,20230115,0,0,6870000
검이불루,74.1,네이비크롬,15.663238429944407,1.6,false,2,20230115,0,0,6770000
탄산,75.5,라온시티걸,67.63991828147064,7.3,false,3,20230115,0,0,6670000
디자이어투윈,87.4,팍스누리,84.26889907993979,4.5,false,4,20230115,0,0,6570000
영영삭스,86.1,퀸오브레이싱,83.97913579688858,6.9,false,5,20230115,0,0,6470000
한강돌풍,99.3,온리위너,99.6448188524138,10.7,false,6,20230115,0,0,6370000
이다나은,79.2,빛의카,76.35843197548598,3.4,false,7,20230115,0,0,6270000
기쁨환호,73.4,하늘아,67.17088023739342,2.6,false,8,20230115,0,0,6170000
문학태핏,9999,찬란한날,108.31830548845022,11.3,false,9,20230115,0,0,6070000
최고레이스,83.1,별나라신사,84.55073641885639,9.4,false,11,20230115,0,0,5970000
그린실드,76.7,화이트다이아,68.39386566150773,4.9,false,1,20230128,0,0,5870000
짜릿한자유,82.2,파이팅케이,22.61807773176875,14.6,false,2,20230128,0,0,5770000
록임팩트,83.0,홀리스타,74.92574952834336,2.2,false,3,20230128,0,0,5670000
울트라갤럭시,113.7,사려니로키,108.14835615237575,2.6,false,4,20230128,0,0,5570000
마이티굿,101.9,시크릿보스,101.79222095278158,4.4,false,5,20230128,0,0,5470000
큐피드코리아,89.1,천송이,85.61833895452767,13.1,false,6,20230128,0,0,5370000
원더풀인디,81.8,럭키클럽,75.17966603047782,2.6,false,7,20230128,0,0,5270000
파워풀화성,75.3,런던에이스,70.09270387433436,8.6,false,8,20230128,0,0,5170000
마이티룩,76.0,로터스미르,72.00618675277613,1.7,false,9,20230128,0,0,5070000
새내퀸,73.8,헤라블레이드,67.2447367480661,2.5,false,10,20230128,0,0,4970000
마하스타,87.8,아마존킹,83.80977194225751,4.5,false,11,20230128,0,0,4870000
블랙머스크,130.4,서울탱크,129.5418393209098,37.0,false,12,20230128,0,0,4770000
늘가을,84.0,카리즈마,78.3878943391506,3.0,false,1,20230129,0,0,4670000
금전사,76.9,검의전설,68.73855407470614,7.5,false,2,20230129,0,0,4570000
비트러너,76.2,파토스,14.527729939220173,3.6,false,3,20230129,0,0,4470000
그린백,82.6,원더풀슬루,23.921198235713135,12.5,false,4,20230129,0,0,4370000
킹심바,113.6,원더풀캣,106.51531121507367,13.6,false,5,20230129,0,0,4270000
너트플레이,103.9,베스트매드캠,99.86862407813234,2.0,false,6,20230129,0,0,4170000
스틸플레이,75.7,글로벌파워,70.27362286240269,5.0,false,7,20230129,0,0,4070000
와우와우,73.7,라온퍼스트,72.8841470085485,47.1,false,8,20230129,0,0,3970000
남산호랑이,120.0,천군,115.71091882476134,3.4,false,9,20230129,0,0,3870000
정문볼트,117.7,러블리케이,59.75465396554067,11.9,false,10,20230129,0,0,3770000
신의아들,74.6,지산군,70.3743273596646,6.5,false,11,20230129,0,0,3670000
