Real Winner Name,Real Winner Time,Predict Winner Name,Predict Winner Time,Win Odds,Is Predict Success,RC No,RC Date,RC Dist,Earn Money,Left Money
업타운위즈,81.2,새내칸,80.2,3.4,false,1,20230107,0,0,9900000
왈가닥,76.6,담쟁이아르고,0.0,7.7,false,2,20230107,0,0,9800000
강한퀸,75.7,골드마이티,0.0,13.9,false,3,20230107,0,0,9700000
너를응원해,114.8,너를응원해,110.1,3.2,true,4,20230107,0,320000,9920000
야무진재수,103.1,남산주몽,0.0,2.4,false,5,20230107,0,0,9820000
논스톱위닝,88.9,누비고,0.0,6.6,false,6,20230107,0,0,9720000
슈어윈,81.6,위즈업,81.0,4.7,false,7,20230107,0,0,9620000
컴플리트엔젤,75.9,톱포지션,73.1,3.7,false,8,20230107,0,0,9520000
베스트천상,75.1,두손판타스틱,72.4,1.8,false,9,20230107,0,0,9420000
스마트전사,88.4,카우보이킹,85.1,15.5,false,10,20230107,0,0,9320000
베스트럭키,88.3,베스트럭키,0.0,22.9,true,11,20230107,0,2290000,11510000
천지여걸,134.2,장산포이즌,128.6,11.5,false,12,20230107,0,0,11410000
글로벌진격,76.6,나인이글,73.8,5.0,false,1,20230108,0,0,11310000
아르고공주,83.6,원더풀티지,80.2,9.8,false,2,20230108,0,0,11210000
위대한한마,83.6,골든럭키,0.0,7.6,false,3,20230108,0,0,11110000
항구스타,77.0,굿사이먼,74.0,18.3,false,4,20230108,0,0,11010000
라온더퀄리티,74.8,금성세계,74.3,1.5,false,5,20230108,0,0,10910000
라로마네,82.6,한강히어로,81.5,11.7,false,6,20230108,0,0,10810000
불화산,115.0,원평킬라,110.0,10.6,false,7,20230108,0,0,10710000
최고블랙,112.3,슈퍼엑톤,110.8,2.0,false,8,20230108,0,0,10610000
원더풀데블,119.6,글로벌영웅,116.4,14.1,false,9,20230108,0,0,10510000
흥록대부,118.4,갤럽컬린,113.6,7.1,false,10,20230108,0,0,10410000
탭다운,74.7,하이러너,72.8,19.4,false,11,20230108,0,0,10310000
오키드밸리,74.8,미스터퀄리티,72.5,2.1,false,1,20230114,0,0,10210000
나올고니,80.4,나올고니,79.3,1.6,true,2,20230114,0,160000,10270000
파워풀삭스,80.0,금빛천하,78.6,3.3,false,3,20230114,0,0,10170000
