Real Winner Name,Real Winner Time,Predict Winner Name,Predict Winner Time,Win Odds,Is Predict Success,RC No,RC Date,RC Dist,Earn Money,Left Money
업타운위즈,81.2,업타운위즈,67.44999999999997,3.4,true,1,20230107,0,340000,10240000
왈가닥,76.6,담쟁이아르고,74.22199999999997,7.7,false,2,20230107,0,0,10140000
강한퀸,75.7,골드마이티,64.53300000000004,13.9,false,3,20230107,0,0,10040000
너를응원해,114.8,배다리공주,101.06999999999996,3.2,false,4,20230107,0,0,9940000
야무진재수,103.1,야무진재수,86.32700000000006,2.4,true,5,20230107,0,240000,10080000
논스톱위닝,88.9,누비고,0.0,6.6,false,6,20230107,0,0,9980000
슈어윈,81.6,젤로스,76.04599999999996,4.7,false,7,20230107,0,0,9880000
컴플리트엔젤,75.9,알사이먼,67.66199999999999,3.7,false,8,20230107,0,0,9780000
베스트천상,75.1,두손판타스틱,65.51399999999998,1.8,false,9,20230107,0,0,9680000
스마트전사,88.4,보디가드,81.59399999999997,15.5,false,10,20230107,0,0,9580000
베스트럭키,88.3,엠제이베스트,79.83000000000004,22.9,false,11,20230107,0,0,9480000
천지여걸,134.2,머니지프,126.38550000000005,11.5,false,12,20230107,0,0,9380000
글로벌진격,76.6,제트비전,63.65600000000004,5.0,false,1,20230108,0,0,9280000
아르고공주,83.6,나올시대,59.09199999999999,9.8,false,2,20230108,0,0,9180000
위대한한마,83.6,에브리참,65.52899999999998,7.6,false,3,20230108,0,0,9080000
항구스타,77.0,클로버파티,69.63199999999999,18.3,false,4,20230108,0,0,8980000
라온더퀄리티,74.8,엠제이타임,61.873000000000005,1.5,false,5,20230108,0,0,8880000
라로마네,82.6,언패럴렐드,75.938,11.7,false,6,20230108,0,0,8780000
불화산,115.0,케이엔티즈원,105.88099999999999,10.6,false,7,20230108,0,0,8680000
최고블랙,112.3,청산영웅,108.79299999999998,2.0,false,8,20230108,0,0,8580000
원더풀데블,119.6,라피도아레스,113.78200000000001,14.1,false,9,20230108,0,0,8480000
흥록대부,118.4,브리가디어제너럴,99.20800000000003,7.1,false,10,20230108,0,0,8380000
탭다운,74.7,볼드어게인,60.489,19.4,false,11,20230108,0,0,8280000
오키드밸리,74.8,무장,70.213,2.1,false,1,20230114,0,0,8180000
나올고니,80.4,베스트선샤인,64.46600000000002,1.6,false,2,20230114,0,0,8080000
파워풀삭스,80.0,월드플레이,76.397,3.3,false,3,20230114,0,0,7980000
스트렝스,73.7,마이티쎈,0.0,1.2,false,4,20230114,0,0,7880000
불곰마드레,72.8,검은질주,70.93999999999998,5.4,false,5,20230114,0,0,7780000
메니에이스,79.9,메니에이스,66.45299999999996,19.2,true,6,20230114,0,1920000,9600000
원더풀위크,85.0,문학다이얼,76.25799999999998,2.7,false,7,20230114,0,0,9500000
그랜드스타,110.1,그랜드스타,94.11599999999993,5.5,true,8,20230114,0,550000,9950000
햇무리,115.5,햇무리,114.48500000000001,8.8,true,9,20230114,0,880000.0000000001,10730000
자이언트킬링,72.4,거센돌풍,68.35000000000002,4.4,false,10,20230114,0,0,10630000
탑퀄리티,85.2,최강블레이드,0.0,12.9,false,11,20230114,0,0,10530000
스트라이드업,85.5,스트라이드업,81.41599999999998,35.5,true,12,20230114,0,3550000,13980000
티즈인디,80.2,티즈인디,77.99899999999991,4.8,true,1,20230115,0,480000,14360000
검이불루,74.1,네이비크롬,0.0,1.6,false,2,20230115,0,0,14260000
탄산,75.5,제로백포,63.85500000000001,7.3,false,3,20230115,0,0,14160000
디자이어투윈,87.4,고스트참,86.43699999999997,4.5,false,4,20230115,0,0,14060000
영영삭스,86.1,금빛마,86.72099999999996,6.9,false,5,20230115,0,0,13960000
한강돌풍,99.3,룰즈클래스,95.35700000000003,10.7,false,6,20230115,0,0,13860000
이다나은,79.2,원평퀸,63.370999999999974,3.4,false,7,20230115,0,0,13760000
기쁨환호,73.4,비트업,72.17299999999999,2.6,false,8,20230115,0,0,13660000
문학태핏,9999,바이킹하트,104.46799999999999,11.3,false,9,20230115,0,0,13560000
최고레이스,83.1,별나라신사,58.460000000000036,9.4,false,11,20230115,0,0,13460000
그린실드,76.7,찰나질주,72.993,4.9,false,1,20230128,0,0,13360000
짜릿한자유,82.2,파이팅케이,0.0,14.6,false,2,20230128,0,0,13260000
록임팩트,83.0,베스트리치,75.68899999999996,2.2,false,3,20230128,0,0,13160000
울트라갤럭시,113.7,세명캡틴,108.34800000000001,2.6,false,4,20230128,0,0,13060000
마이티굿,101.9,두손멍군,99.23100000000001,4.4,false,5,20230128,0,0,12960000
큐피드코리아,89.1,올포유어드림,82.37100000000002,13.1,false,6,20230128,0,0,12860000
원더풀인디,81.8,원더풀우먼,78.36899999999999,2.6,false,7,20230128,0,0,12760000
파워풀화성,75.3,은혜,68.976,8.6,false,8,20230128,0,0,12660000
마이티룩,76.0,티시패밀리,70.239,1.7,false,9,20230128,0,0,12560000
새내퀸,73.8,대완구,62.17350000000002,2.5,false,10,20230128,0,0,12460000
마하스타,87.8,아마존킹,86.64800000000001,4.5,false,11,20230128,0,0,12360000
블랙머스크,130.4,릴패트론,129.42900000000003,37.0,false,12,20230128,0,0,12260000
늘가을,84.0,내추럴클래스,62.458,3.0,false,1,20230129,0,0,12160000
금전사,76.9,파이어굿,65.69700000000003,7.5,false,2,20230129,0,0,12060000
비트러너,76.2,그린스펙터,0.0,3.6,false,3,20230129,0,0,11960000
그린백,82.6,원더풀슬루,0.0,12.5,false,4,20230129,0,0,11860000
킹심바,113.6,금성환희,102.95899999999997,13.6,false,5,20230129,0,0,11760000
너트플레이,103.9,디바인퓨처즈,100.35400000000001,2.0,false,6,20230129,0,0,11660000
스틸플레이,75.7,스틸플레이,66.865,5.0,true,7,20230129,0,500000,12060000
와우와우,73.7,대한질주,70.87800000000001,47.1,false,8,20230129,0,0,11960000
남산호랑이,120.0,퍼스트드림,109.046,3.4,false,9,20230129,0,0,11860000
정문볼트,117.7,러블리케이,0.0,11.9,false,10,20230129,0,0,11760000
신의아들,74.6,정상제트,69.85600000000001,6.5,false,11,20230129,0,0,11660000
