Real Winner Name,Real Winner Time,Predict Winner Name,Predict Winner Time,Win Odds,Is Predict Success,RC No,RC Date,RC Dist,Earn Money,Left Money
에스아이코코,74.3,스마티파이터,75.8387191977588,6.6,false,1,20230204,0,0,11880000
폴인러브,75.4,안양폭격기,75.8387191977588,13.8,false,2,20230204,0,0,11780000
새내칸,82.9,새내칸,82.40252457207392,2.2,true,3,20230204,0,220000.00000000003,11900000
정우포에버,83.5,투에이스,82.33639699433877,3.7,false,4,20230204,0,0,11800000
슈퍼피니시,75.6,카우보이탱고,75.69056041982498,2.4,false,5,20230204,0,0,11700000
타우루스퀸,89.0,브이퀸,88.74117398898643,4.3,false,6,20230204,0,0,11600000
섬싱로스트,88.2,신한특송,2.2950896267128216,1.7,false,7,20230204,0,0,11500000
더퀸저스티스,89.1,더퀸저스티스,88.74117398898643,2.8,true,8,20230204,0,280000,11680000
모닝프린스,113.0,정문최강,112.18779537220463,3.6,false,9,20230204,0,0,11580000
최고블랙,119.7,톱시드,117.26457511630325,8.1,false,10,20230204,0,0,11480000
동진최강,73.6,바이스로이,75.69056041982498,7.2,false,11,20230204,0,0,11380000
참좋은친구,88.0,로열엘비스,88.74117398898643,4.2,false,12,20230204,0,0,11280000
메타블레이드,82.7,메타블레이드,82.40252457207392,1.7,true,1,20230205,0,170000,11350000
아르고스마일,76.2,주몽천하,75.8387191977588,14.1,false,2,20230205,0,0,11250000
유니콘킹덤,75.9,슈프림스타,75.8387191977588,4.4,false,3,20230205,0,0,11150000
머니스톤,90.9,우뚝,88.80730156672158,28.5,false,4,20230205,0,0,11050000
베스트선,83.3,스트롱러너,82.33639699433877,3.3,false,5,20230205,0,0,10950000
희망가득,75.7,천리총,75.8387191977588,2.7,false,6,20230205,0,0,10850000
구억마알,75.7,그레이트선더,75.69056041982498,16.7,false,7,20230205,0,0,10750000
논스톱위닝,102.9,아메리칸포스원,100.87658256694738,11.9,false,8,20230205,0,0,10650000
슈퍼엑톤,112.6,어메이징위즈,112.18779537220463,10.1,false,9,20230205,0,0,10550000
장산몬스터,119.7,럭키월드,117.26457511630325,3.4,false,10,20230205,0,0,10450000
레전드데이,87.2,최고레이스,88.74117398898643,6.7,false,11,20230205,0,0,10350000
영원파이터,76.4,마구마,75.8387191977588,3.9,false,1,20230211,0,0,10250000
라온엠파이어,75.4,피엔에스번쩍,76.043991644663,1.5,false,2,20230211,0,0,10150000
대왕삭스,81.8,최강현마,82.40252457207392,1.4,false,3,20230211,0,0,10050000
매글데이,83.2,동방사기,82.40252457207392,2.9,false,4,20230211,0,0,9950000
라온아메리칸,81.6,회두령,82.33639699433877,4.3,false,5,20230211,0,0,9850000
퍼지데이,74.7,히트에이스,75.69056041982498,1.7,false,6,20230211,0,0,9750000
그레이토르,74.1,빅레드,75.69056041982498,2.0,false,7,20230211,0,0,9650000
금아시크,103.9,빅에너지,100.87658256694738,4.5,false,8,20230211,0,0,9550000
로열함성,111.1,바이킹하트,112.18779537220463,29.5,false,9,20230211,0,0,9450000
나올스나이퍼,118.3,골드스파이크,117.26457511630325,1.5,false,10,20230211,0,0,9350000
디스챌린지,73.9,문학시바,75.69056041982498,5.0,false,11,20230211,0,0,9250000
도끼불패,87.6,불의여왕,88.74117398898643,2.4,false,12,20230211,0,0,9150000
꿈의순간,83.8,꿈의순간,82.40252457207392,2.4,true,1,20230212,0,240000,9290000
마에스트라,76.3,마에스트라,75.8387191977588,3.0,true,2,20230212,0,300000,9490000
동트자웨이,76.7,미르포인트,75.8387191977588,5.6,false,3,20230212,0,0,9390000
원평버드,114.2,함평파이터,0.8502636972240083,4.5,false,4,20230212,0,0,9290000
업타운위즈,88.0,새내황제,88.74117398898643,1.8,false,5,20230212,0,0,9190000
원평퀸,82.5,불의꽃,82.40252457207392,7.7,false,6,20230212,0,0,9090000
글로벌강타,75.5,언패럴렐드,75.74219678419391,1.6,false,7,20230212,0,0,8990000
최강블레이드,74.6,최강블레이드,75.69056041982498,5.1,true,8,20230212,0,509999.99999999994,9400000
라온더퀄리티,102.5,스타블레이드,100.87658256694738,5.0,false,9,20230212,0,0,9300000
라온자이언트,87.7,옐로우캣,88.74117398898643,1.9,false,10,20230212,0,0,9200000
사려니퍼스트,131.6,그레이캣,126.47530668109813,2.6,false,11,20230212,0,0,9100000
리걸하이,76.0,논스톱선더,75.8387191977588,2.3,false,1,20230218,0,0,9000000
나올행복,74.8,동행퍼스트,75.8387191977588,2.9,false,2,20230218,0,0,8900000
랠리퀸,74.9,클레어베스트,75.8387191977588,15.5,false,3,20230218,0,0,8800000
더페이버릿,88.6,인빅터스,1.453356868396888,2.6,false,4,20230218,0,0,8700000
울프플레이,87.0,룰즈클래스,88.74117398898643,9.0,false,5,20230218,0,0,8600000
골드파워,73.6,블랙실버,3.049858766962057,10.1,false,6,20230218,0,0,8500000
원퍼트,118.6,아침기상,117.26457511630325,10.5,false,7,20230218,0,0,8400000
티즈블랙,101.5,김천영웅,100.87658256694738,4.3,false,8,20230218,0,0,8300000
