age,hrNo,jkNo,owNo,rcDist,sex,trNo,track,weather,wgHr,winOdds,rcNo,rcDate,hrName,meet,rcTime,predicted_time
3,45358,80366,110002,1200,3,70149,3,1,465,10.2,1,20230226,럭키바운스,서울,76.4,76.043991644663
3,46345,80562,110016,1200,2,70091,3,1,456,26.4,1,20230226,클럽디,서울,76.4,76.09686999796725
3,45951,80513,65118,1200,3,70177,3,1,463,1.2,1,20230226,나인이글,서울,76.6,76.14850636233618
3,45419,80473,104112,1200,1,70225,3,1,487,51.9,1,20230226,성실인동,서울,76.9,75.89035556212774
3,45735,80584,121005,1200,1,70164,3,1,440,30.3,1,20230226,클레어퀸,서울,77.1,76.20685149617962
3,46620,80337,65160,1200,1,70110,3,1,441,13.7,1,20230226,총알커널,서울,77.3,76.18852677801566
3,46390,80476,104102,1200,2,70160,3,1,429,34.1,1,20230226,검의전설,서울,77.3,76.44882443293446
3,45274,80438,105249,1200,1,70117,3,1,474,43.3,1,20230226,걸작투어,서울,77.7,75.8387191977588
3,45319,80603,106272,1200,2,70165,3,1,503,36.8,1,20230226,콜리타스,서울,77.7,75.8387191977588
3,46161,80100,30028,1200,1,70167,3,1,450,37.9,1,20230226,그래티튜드,서울,77.8,76.14850636233618
3,45390,80342,10254,1200,1,70170,3,1,444,42.2,1,20230226,지니어스퀸,서울,78.0,76.29697550937799
3,45824,80512,106272,1200,3,70157,3,1,441,187.2,1,20230226,트롤,서울,78.4,76.13689041364673
3,45750,80608,10644,1300,1,70200,3,1,456,47.6,2,20230226,마하비상,서울,83.3,82.71231173665129
3,45648,80339,113030,1300,1,70167,3,1,450,2.0,2,20230226,사려니티케,서울,83.6,82.66067537228236
3,45249,80593,119036,1300,1,70145,3,1,478,7.4,2,20230226,스마티글로리,서울,83.7,82.40252457207392
3,45791,80515,116057,1300,1,70091,3,1,460,14.5,2,20230226,바로챔피언,서울,83.8,82.66067537228236
3,46305,80582,65127,1300,1,70265,3,1,461,26.2,2,20230226,뷰티풀멜로디,서울,84.2,82.71231173665129
3,45987,80513,109029,1300,1,70225,3,1,485,8.1,2,20230226,에이스티아라,서울,84.3,82.40252457207392
3,45380,80487,216306,1300,1,70144,3,1,445,9.2,2,20230226,히어로퀸,서울,84.6,82.66067537228236
3,46557,80603,104069,1300,1,70165,3,1,480,68.3,2,20230226,상임대표,서울,84.8,82.45416093644285
3,45919,80342,10205,1300,1,70110,3,1,440,6.9,2,20230226,강철여걸,서울,85.0,82.930741966226
3,45466,80438,10486,1300,1,70108,3,1,449,12.0,2,20230226,플랜비,서울,85.3,82.82076046801362
4,44516,80582,114024,1700,3,70152,3,1,503,8.5,3,20230226,쌍옥루,서울,114.0,112.31338029545827
5,42261,80609,10498,1700,1,70096,3,1,434,28.6,3,20230226,원더풀하와이,서울,114.6,112.89301833854648
4,44134,80552,65096,1700,3,70161,3,1,472,56.0,3,20230226,유로강자,서울,114.7,112.3650166598272
4,44601,80361,110034,1700,2,70167,3,1,498,2.5,3,20230226,유레카,서울,115.0,112.31338029545827
4,44091,80533,104011,1700,2,70197,3,1,505,7.5,3,20230226,카미노,서울,115.1,112.3650166598272
