Real Winner Name,Real Winner Time,Predict Winner Name,Predict Winner Time,Win Odds,Is Predict Success,RC No,RC Date,RC Dist,Earn Money,Left Money
업타운위즈,81.2,새내칸,82.43174062509476,3.4,false,1,20230107,0,0,9900000
왈가닥,76.6,캔디글로우,75.56407496501538,7.7,false,2,20230107,0,0,9800000
강한퀸,75.7,스타태풍,75.42714327655662,13.9,false,3,20230107,0,0,9700000
너를응원해,114.8,후이넘,112.92329420733422,3.2,false,4,20230107,0,0,9600000
야무진재수,103.1,파이어로드,100.51035030166305,2.4,false,5,20230107,0,0,9500000
논스톱위닝,88.9,누비고,2.433236328397649,6.6,false,6,20230107,0,0,9400000
슈어윈,81.6,걸작맨,82.23857813948652,4.7,false,7,20230107,0,0,9300000
컴플리트엔젤,75.9,다나은로즈,75.49739751155684,3.7,false,8,20230107,0,0,9200000
베스트천상,75.1,새내파워풀,75.3642713089038,1.8,false,9,20230107,0,0,9100000
스마트전사,88.4,더퀸저스티스,88.6070727505548,15.5,false,10,20230107,0,0,9000000
베스트럭키,88.3,베스트럭키,88.57049780689161,22.9,true,11,20230107,0,2290000,11190000
천지여걸,134.2,루킹굿,129.05303979164626,11.5,false,12,20230107,0,0,11090000
글로벌진격,76.6,최강현마,75.51772254435714,5.0,false,1,20230108,0,0,10990000
아르고공주,83.6,나올시대,82.43174062509476,9.8,false,2,20230108,0,0,10890000
위대한한마,83.6,한가위선물,82.41141559229446,7.6,false,3,20230108,0,0,10790000
항구스타,77.0,익스펙트,75.49739751155684,18.3,false,4,20230108,0,0,10690000
라온더퀄리티,74.8,랠리퀸,75.49739751155684,1.5,false,5,20230108,0,0,10590000
라로마네,82.6,언패럴렐드,82.35619513643074,11.7,false,6,20230108,0,0,10490000
불화산,115.0,골드스파이크,112.92329420733422,10.6,false,7,20230108,0,0,10390000
최고블랙,112.3,시선집중,112.88671926367103,2.0,false,8,20230108,0,0,10290000
원더풀데블,119.6,라피도아레스,117.07293139261645,14.1,false,9,20230108,0,0,10190000
흥록대부,118.4,갤럽컬린,117.07293139261645,7.1,false,10,20230108,0,0,10090000
탭다운,74.7,탭다운,75.42714327655662,19.4,true,11,20230108,0,1939999.9999999998,11930000
오키드밸리,74.8,오키드밸리,74.93367697080737,2.1,true,1,20230114,0,210000,12040000
나올고니,80.4,드림윈디,81.97283556967072,1.6,false,2,20230114,0,0,11940000
파워풀삭스,80.0,배다리왕자,81.91450979297768,3.3,false,3,20230114,0,0,11840000
스트렝스,73.7,마이티쎈,4.743143788406018,1.2,false,4,20230114,0,0,11740000
불곰마드레,72.8,리버태양,74.63372538511105,5.4,false,5,20230114,0,0,11640000
메니에이스,79.9,히트에이스,81.1706362956648,19.2,false,6,20230114,0,0,11540000
원더풀위크,85.0,제이에스군황,87.53913090673309,2.7,false,7,20230114,0,0,11440000
그랜드스타,110.1,사랑다모아,111.85535236351251,5.5,false,8,20230114,0,0,11340000
햇무리,115.5,봄날의기억,116.00498954879474,8.8,false,9,20230114,0,0,11240000
자이언트킬링,72.4,문학스톰,74.29632946508208,4.4,false,10,20230114,0,0,11140000
탑퀄리티,85.2,최강블레이드,1.8300984077826137,12.9,false,11,20230114,0,0,11040000
스트라이드업,85.5,교룡득수,87.5025559630699,35.5,false,12,20230114,0,0,10940000
티즈인디,80.2,다시태어나도,82.17291120136056,4.8,false,1,20230115,0,0,10840000
검이불루,74.1,네이비크롬,1.3790950498766084,1.6,false,2,20230115,0,0,10740000
탄산,75.5,아치로켓,74.44978070053543,7.3,false,3,20230115,0,0,10640000
디자이어투윈,87.4,퍼미션투윈,87.66658625232624,4.5,false,4,20230115,0,0,10540000
영영삭스,86.1,엄청난걸,87.53913090673309,6.9,false,5,20230115,0,0,10440000
한강돌풍,99.3,용호지마,99.48211970799623,10.7,false,6,20230115,0,0,10340000
이다나은,79.2,어나더레벨,81.2103475458197,3.4,false,7,20230115,0,0,10240000
기쁨환호,73.4,킹마운틴,74.29632946508208,2.6,false,8,20230115,0,0,10140000
문학태핏,9999,바이킹하트,111.85535236351251,11.3,false,9,20230115,0,0,10040000
최고레이스,83.1,님의향기,87.81090046061718,9.4,false,11,20230115,0,0,9940000
그린실드,76.7,우루스퀸,75.41031035440729,4.9,false,1,20230128,0,0,9840000
짜릿한자유,82.2,파이팅케이,5.483797927750117,14.6,false,2,20230128,0,0,9740000
록임팩트,83.0,선샤인케이,82.17087719969156,2.2,false,3,20230128,0,0,9640000
울트라갤럭시,113.7,후이넘,112.81588201738437,2.6,false,4,20230128,0,0,9540000
마이티굿,101.9,인천캡틴,100.36636316805,4.4,false,5,20230128,0,0,9440000
큐피드코리아,89.1,영웅대마,88.49966056060495,13.1,false,6,20230128,0,0,9340000
원더풀인디,81.8,스타크레이지,82.13116594953667,2.6,false,7,20230128,0,0,9240000
파워풀화성,75.3,은혜,75.25685911895394,8.6,false,8,20230128,0,0,9140000
마이티룩,76.0,메니골드,75.25685911895394,1.7,false,9,20230128,0,0,9040000
새내퀸,73.8,제이피닉스,75.25685911895394,2.5,false,10,20230128,0,0,8940000
마하스타,87.8,아침기상,88.49966056060495,4.5,false,11,20230128,0,0,8840000
블랙머스크,130.4,릴패트론,127.51552582189007,37.0,false,12,20230128,0,0,8740000
늘가을,84.0,늘가을,82.5202381344571,3.0,true,1,20230129,0,300000,8940000
금전사,76.9,금전사,75.55986763306124,7.5,true,2,20230129,0,750000,9590000
비트러너,76.2,파토스,1.8265163545100225,3.6,false,3,20230129,0,0,9490000
그린백,82.6,원더풀슬루,5.666848490742264,12.5,false,4,20230129,0,0,9390000
킹심바,113.6,페더럴킹,112.92886435237513,13.6,false,5,20230129,0,0,9290000
너트플레이,103.9,아이스스타,100.55249539036716,2.0,false,6,20230129,0,0,9190000
스틸플레이,75.7,베스트토치,75.4064163976079,5.0,false,7,20230129,0,0,9090000
와우와우,73.7,와우와우,75.4064163976079,47.1,true,8,20230129,0,4710000,13700000
남산호랑이,120.0,논스톱기상,117.15165142498375,3.4,false,9,20230129,0,0,13600000
정문볼트,117.7,러블리케이,5.226364695457616,11.9,false,10,20230129,0,0,13500000
신의아들,74.6,그린드래건,75.4064163976079,6.5,false,11,20230129,0,0,13400000
