Real Winner Name,Real Winner Time,Predict Winner Name,Predict Winner Time,Win Odds,Is Predict Success,RC No,RC Date,RC Dist,Earn Money,Left Money
업타운위즈,81.2,파워에치드,56.85324999999999,3.4,false,1,20230107,0,0,9900000
왈가닥,76.6,담쟁이아르고,63.91799999999999,7.7,false,2,20230107,0,0,9800000
강한퀸,75.7,골드마이티,64.26799999999999,13.9,false,3,20230107,0,0,9700000
너를응원해,114.8,너를응원해,102.39099999999999,3.2,true,4,20230107,0,320000,9920000
야무진재수,103.1,남산주몽,71.22275000000002,2.4,false,5,20230107,0,0,9820000
논스톱위닝,88.9,누비고,0.0,6.6,false,6,20230107,0,0,9720000
슈어윈,81.6,슈어윈,70.454,4.7,true,7,20230107,0,470000,10090000
컴플리트엔젤,75.9,알사이먼,69.29299999999999,3.7,false,8,20230107,0,0,9990000
베스트천상,75.1,에이원스타,45.343999999999994,1.8,false,9,20230107,0,0,9890000
스마트전사,88.4,다프네,84.101,15.5,false,10,20230107,0,0,9790000
베스트럭키,88.3,엠제이베스트,71.18299999999998,22.9,false,11,20230107,0,0,9690000
천지여걸,134.2,베스트탑,130.51199999999986,11.5,false,12,20230107,0,0,9590000
글로벌진격,76.6,나인이글,59.46800000000001,5.0,false,1,20230108,0,0,9490000
아르고공주,83.6,나올시대,54.292999999999985,9.8,false,2,20230108,0,0,9390000
위대한한마,83.6,에브리참,76.52099999999997,7.6,false,3,20230108,0,0,9290000
항구스타,77.0,클로버파티,70.52600000000002,18.3,false,4,20230108,0,0,9190000
라온더퀄리티,74.8,글로벌강타,73.021,1.5,false,5,20230108,0,0,9090000
라로마네,82.6,최강미래,74.69999999999997,11.7,false,6,20230108,0,0,8990000
불화산,115.0,페더럴캣,105.47699999999998,10.6,false,7,20230108,0,0,8890000
최고블랙,112.3,누비강자,110.31599999999999,2.0,false,8,20230108,0,0,8790000
원더풀데블,119.6,위너블루,110.05199999999999,14.1,false,9,20230108,0,0,8690000
흥록대부,118.4,스프링백,101.95500000000001,7.1,false,10,20230108,0,0,8590000
탭다운,74.7,은성마루,71.12400000000001,19.4,false,11,20230108,0,0,8490000
오키드밸리,74.8,무장,74.09899999999999,2.1,false,1,20230114,0,0,8390000
나올고니,80.4,나올고니,70.089,1.6,true,2,20230114,0,160000,8450000
파워풀삭스,80.0,보스베이비,65.45000000000002,3.3,false,3,20230114,0,0,8350000
스트렝스,73.7,마이티쎈,0.0,1.2,false,4,20230114,0,0,8250000
불곰마드레,72.8,멋진기록,71.64900000000003,5.4,false,5,20230114,0,0,8150000
메니에이스,79.9,아인슈페너,66.13900000000002,19.2,false,6,20230114,0,0,8050000
원더풀위크,85.0,문학다이얼,65.34100000000001,2.7,false,7,20230114,0,0,7950000
그랜드스타,110.1,그랜드파워,99.75500000000002,5.5,false,8,20230114,0,0,7850000
햇무리,115.5,천마챗,107.53999999999995,8.8,false,9,20230114,0,0,7750000
자이언트킬링,72.4,어카운트,63.14499999999999,4.4,false,10,20230114,0,0,7650000
탑퀄리티,85.2,최강블레이드,0.0,12.9,false,11,20230114,0,0,7550000
스트라이드업,85.5,스트라이드업,80.91600000000004,35.5,true,12,20230114,0,3550000,11000000
티즈인디,80.2,엘리트로열,67.11,4.8,false,1,20230115,0,0,10900000
검이불루,74.1,네이비크롬,0.0,1.6,false,2,20230115,0,0,10800000
탄산,75.5,서울을날다,69.23000000000002,7.3,false,3,20230115,0,0,10700000
디자이어투윈,87.4,고스트참,45.289000000000016,4.5,false,4,20230115,0,0,10600000
영영삭스,86.1,영영삭스,83.39700000000005,6.9,true,5,20230115,0,690000,11190000
한강돌풍,99.3,룰즈클래스,101.40199999999999,10.7,false,6,20230115,0,0,11090000
이다나은,79.2,라온더하이맨,68.57200000000006,3.4,false,7,20230115,0,0,10990000
기쁨환호,73.4,비트업,69.01799999999994,2.6,false,8,20230115,0,0,10890000
문학태핏,9999,바이킹하트,99.44800000000004,11.3,false,9,20230115,0,0,10790000
최고레이스,83.1,별나라신사,61.181999999999974,9.4,false,11,20230115,0,0,10690000
